OBJECTID *,A.T. Region Acronym,Trail Club Acronym,Campsite Name,Status,In FMSS?,FMSS Name,FMSS Location ID *,GIS ID,Type of Campsite,Number of Sites,Number of 8x8 Tentsites,Number of Constructed Tent Pads,Predominant Tent Pad Perimeter Material,Number of Constructed Tent Platforms,Predominant Tent Platform Deck Material,Number of Metal Fire Rings,Number of Mortared Fire Rings,Number of Food Boxes,Number of Food Cables,Number of Food Poles,Number of Metal Storage Boxes,Number of Plastic Storage Boxes,Number of Wooden Storage Boxes,Number of Bulletin Boards/Kiosks,Number of Directional/Wayfinding Signs,Number of Educational/Interpretative Signs,Number of Identification/Entrance Signs,Number of Regulatory/Safety Signs,Number of Bollards,Number of Boulders,Number of Cattle Guards,Number of Gates,Number of Stiles,Number of Fences,Total Fence Length Feet,Predominant Fence Material,Photos Taken?,Year Built,Comments,FMSS Quantity,Description,FBMS ID,Optimizer Band,Asset Priority Index,Historic Status,State,County,A.T. Region,Congressional District,Trail_Club,Northern Maintainer Boundary,Southern Maintainer Boundary,A.T. Maintainer Section,Wilderness Area,Ownership,Latitude,Longitude,Maximum PDOP,Maximum HDOP,Correction Type,Receiver Type,GPS Date,GPS Time,Update Status,Feature Name,Datafile,Unfiltered Positions,Filtered Positions,Data Dictionary,GPS Week,GNSS Height,Vertical Precision,Horizontal Precision,Standard Deviation,Point X,Point Y,GFID,Source,Version,Publish?,Creator,Creation Date,Editor,Edit Date,Photo1,Photo2,Photo3,Photo4,Photo5,Photo6,Photo7,Photo8,Photo9,Photo10,GlobalID *,Shape *
1,NERO,AMC-WMA,Crystal Mtn Campsite,Official A.T. Campsite,Yes,AMC-WMA Crystal Mtn Campsite,101869,CS26,Designated Campsite,3,6,0,None,0,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,2000,,0.008815,AMC-WMA Crystal Mtn Campsite,IB14001000208620000237,1,100,Y,Massachusetts,BERKSHIRE,New England,Congressional District 1,Appalachian Mountain Club - Western Massachusetts Chapter,Gore Pond,Gulf Rd,Gore Pond to Gulf Rd,N,STATE FEE - STATE OF MASSACHUSETTS,42.5151143,-73.15940967,1.6,1,Uncorrected,Geo 7x,10/14/2015,11:50:15 AM,New,Campsite,File Not Specified,30,30,AT 2015 Inventory,1866,595.909,19.8,14,1.069485,-73.15941,42.515114,{185f7555-49cb-4ce4-b7ff-b4f7c63a152b},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1nS5SBYlYQdPp2yWIZtrQuXjxZDQ1tak_/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1XavsZm2WgML_xzwqtM911P6w7r-eKUJU/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1wLGlxc_TXNqdBo9jojgrvV0NbwMf9Nq7/view?usp=drivesdk,,,,,,,,{d6296766-72df-4a4e-82a1-25fb419c0e18},Point
2,NERO,AMC-WMA,Upper Goose Pond Cabin Campsite 1,Official A.T. Campsite,Yes,AMC-WMA Upper Goose Pond Cabin Campsite 1,250506,CS576,Designated Campsite,2,0,0,None,2,Dimensional Lumber,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,None,Yes,1980,,0.004591,AMC-WMA Upper Goose Pond Cabin Campsite 1,IB14001000208620001457,1,100,N,Massachusetts,BERKSHIRE,New England,Congressional District 1,Appalachian Mountain Club - Western Massachusetts Chapter,Tyne Rd,Register Box (UGPC Natural Area)/Side Trail (Approximate Location),Tyne Rd to Register Box (UGPC Natural Area)/Side Trail (Approximate Location),N,FEDERAL FEE - NPS APPA,42.28940101,-73.18184563,1.6,1,Uncorrected,Geo 7x,10/15/2015,8:37:46 AM,New,Campsite,File Not Specified,32,32,AT 2015 Inventory,1866,446.294,18.2,11.5,0.987116,-73.181846,42.289401,{c4a81659-9cb8-448a-bb8b-d11f937dac59},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1YGOInw4-QXS95dOKtax8I9SSPbWEfbPn/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1dqON_mEkfdB5YMKKetWrDL2ARpekBEGY/view?usp=drivesdk,,,,,,,,,{242248e0-87c1-4576-b107-1fc48d44d90f},Point
3,NERO,AMC,Liberty Springs Campsite,Official A.T. Campsite,Yes,AMC Liberty Springs Campsite,244713,CS677,Designated Campsite,10,0,0,None,10,Dimensional Lumber,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,2000,,0.022957,AMC Liberty Springs Campsite,IB14001000208620001528,1,100,N,New Hampshire,GRAFTON,New England,Congressional District 2,Appalachian Mountain Club,Franconia Ridge Tr.,Liberty Spring Tr.,Franconia Ridge Tr. to Liberty Spring Tr.,N,FEDERAL FEE - USFS WHITE MTN NF,44.11793493,-71.6468716,1.6,0.9,Uncorrected,Geo 7x,9/28/2015,12:24:24 PM,New,Campsite,File Not Specified,31,31,AT 2015 Inventory,1864,1154.151,22.6,20.7,2.828906,-71.646872,44.117935,{8197b57b-00f9-4d6b-b9d4-b2722dd58c12},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1FIUCH0HZYfwXkzYXY09gQh6iS15RiNgH/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1IpM9RmuzuNlpig8DC817KyTnwMxDVgEO/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1CLegasB56_8UddOzjtLcJc0SUs7rPaxt/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1oBxQtdwBr7FyRnTKBYxifnD7BC9Wojf5/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1GdunLbuhgFapfk_D80i32QKYVxqosNSJ/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1u_7Ux3MY2hYC3AmeQ3QrGVSy_wZEVZyX/view?usp=drivesdk,,,,,{958fc754-baef-46d9-b1a9-1bc8c91d5671},Point
4,NERO,MATC,Bald Mtn Brook Lean-to Campsite,Official A.T. Campsite,Yes,MATC Bald Mtn Brook Lean-to Campsite,250539,NA,Designated Campsite,3,3,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1994,,0.004408,MATC Bald Mtn Brook Lean-to Campsite,IB14001000208620001488,1,100,N,Maine,SOMERSET,New England,Congressional District 2,Maine Appalachian Trail Club,Outlet Bald Mountain Pond,Baker Stream,Outlet Bald Mountain Pond to Baker Stream,N,FEDERAL FEE - NPS APPA,45.258568,-69.79956925,4.2,2.3,Postprocessed Code,GeoXT 6000,6/6/2017,11:34:05 AM,New,Campsite,File Not Specified,31,31,AT 2015 Inventory,1952,369.751,18,13,2.848103,-69.799569,45.258568,{2e55fc17-93bb-48d6-bbfd-2210dbdbda13},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/14GOIKROOzFeAkOvoJjoKMu34u_xoV57D/view?usp=drivesdk,https://drive.google.com/file/d/1gYOpI-9Iw0lD8YWeYma5beqlnd_2zn2Z/view?usp=drivesdk,https://drive.google.com/file/d/1q59APRLqr6GRkL-7xAnYov0_4QtijiNr/view?usp=drivesdk,https://drive.google.com/file/d/1GxKUIB689_k4F1breLL8VpM7KzZPgvRW/view?usp=drivesdk,https://drive.google.com/file/d/1gR_eDhxKVsQSOIg_ovMeGp8yKd2BIRd4/view?usp=drivesdk,https://drive.google.com/file/d/1d4BW2IEX-u0usKK3PDszFwp943e_q6Z_/view?usp=drivesdk,,,,,{9747a860-9de6-49d1-9393-0d5871240377},Point
5,NERO,AMC,Imp Shelter Campsite,Official A.T. Campsite,Yes,AMC Imp Shelter Campsite,244707,CS653,Designated Campsite,6,0,0,None,6,Dimensional Lumber,0,0,1,0,0,1,0,0,1,0,0,6,3,0,0,0,0,0,0,0,None,Yes,1981,In ArcGIS each tent platform has it's own GIS IS ranging CS653 to CS658,0.013774,AMC Imp Shelter Campsite,IB14001000208620001522,1,100,N,New Hampshire,COOS,New England,Congressional District 2,Appalachian Mountain Club,Centennial Tr,Imp Shelter Spur Tr.,Centennial Tr to Imp Shelter Spur Tr.,N,FEDERAL FEE - USFS WHITE MTN NF,44.3292077,-71.14925476,2.1,1.2,Uncorrected,Geo 7x,7/1/2016,9:03:30 AM,New,Campsite,File Not Specified,31,31,AT 2015 Inventory,1903,952.621,23.5,13.8,4.704099,-71.149255,44.329208,{d6c6ddaf-775f-48a1-a3e4-e6eb349a252f},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1F7da3oYwSqcMxmZP6_JbYIrzZ79DN7Pj/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1gx5oKrHFYxUfnwb6AFbzo2IMVVQlQ04S/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1prMsEz3XEEyAivk3LotQAAkNCPisV6vw/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/15tdysM_TW04NKuUUNjAnthkXJqE4rujo/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1LvbdaEAlA68iHGXqQ1zH1YxPswDqD0p5/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1P5JpbI8ymeqtEPZED5YZwj4hgD4RXLS0/view?usp=drivesdk,,,,,{a7e5ef1c-b476-4c13-aa5a-1912cd0cb4ca},Point
6,NERO,MATC,Cooper Brook Falls Lean-to Campsite,Official A.T. Campsite,Yes,MATC Cooper Brook Falls Lean-to Campsite,250542,NA,Designated Campsite,4,4,0,None,0,None,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,None,Yes,1956,,0.005877,MATC Cooper Brook Falls Lean-to Campsite,IB14001000208620001491,1,100,N,Maine,PISCATAQUIS,New England,Congressional District 2,Maine Appalachian Trail Club,Cooper Brook Lean-to,Johnson Pond Road,Cooper Brook Lean-to to Johnson Pond Road,N,FEDERAL FEE - NPS APPA,45.64033877,-69.08812969,2.5,1.4,Uncorrected,GeoXT 6000,8/30/2016,10:49:17 AM,New,Campsite,File Not Specified,30,30,AT 2015 Inventory,1912,262.88,30.2,21.2,5.219499,-69.08813,45.640339,{139ae2ba-7445-46f9-93d9-dc76d53600e6},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1qK0e2fANVkn-g83d5fzec0zJn-HOirFK/view?usp=drivesdk,,,,,,,,,,{a8fc3356-725b-4e17-913e-305753eb492f},Point
7,NERO,AMC-CT,Stony Brook Group Campsite 2,Official A.T. Campsite,Yes,AMC-CT Stony Brook Group Campsite 2,250522,CS496,Designated Groupsite,5,5,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,None,Yes,1997,,0.007346,AMC-CT Stony Brook Group Campsite 2,IB14001000208620001473,1,100,N,Connecticut,LITCHFIELD,New England,Congressional District 5,Appalachian Mountain Club - Connecticut Chapter,Swifts Bridge,St. Johns Ledges,Swifts Bridge to St. Johns Ledges,N,FEDERAL FEE - NPS APPA,41.78439512,-73.41542018,1.5,0.9,Uncorrected,Geo 7x,10/20/2015,2:20:39 PM,New,Campsite,File Not Specified,30,30,AT 2015 Inventory,1867,121.307,21.1,20,5.573478,-73.41542,41.784395,{54c83fe4-9154-4af3-ae4b-8469df6fa156},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/18KiUH3LfgAvsw_yMXcNOpQgwJvnFiqOI/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1gU76EQPFIkyQe8U7huaOnc6cW1NEuEId/view?usp=drivesdk,,,,,,,,,{f75ad323-bcb3-4caf-b16a-fd966c52e34c},Point
8,NERO,AMC,Speck Pond Shelter Group Campsite,Official A.T. Campsite,Yes,AMC Speck Pond Shelter Group Campsite,244701,CS629,Designated Groupsite,7,0,0,None,7,Dimensional Lumber,0,0,1,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,None,Yes,1968,GIS CS629-CS635,0.01607,AMC Speck Pond Shelter Group Campsite,IB14001000208620001518,1,100,N,Maine,OXFORD,New England,Congressional District 2,Appalachian Mountain Club,Speck Pond Campsite,May Cutoff (south),Speck Pond Campsite to May Cutoff (south),N,STATE FEE - STATE OF MAINE,44.56510189,-70.97311074,4,1.9,Uncorrected,Geo 7x,7/13/2016,8:19:12 AM,New,Campsite,File Not Specified,43,43,AT 2015 Inventory,1905,1023.822,18.4,11.2,2.300317,-70.973111,44.565102,{9be7d150-4741-4e6c-8d8b-3f7734ddc46a},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1LW0kQvAbIFplEmxPpSFHK6aUAd1Ja1xu/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1esAzweDovcnkv7Ys8EeigRkpc1LI4hIQ/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/10CXrZHsSNnlCPdv_dWpeU6KyHPVH7jjy/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1i2-CuUoGxp7GanY_0fJV1PSNbIZIdX7Q/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/10EATA7-f5iG5DOIXW5fAgdc-REV_VVMV/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/10jN8BSiVxOP828t-s2UCK6qm1RMoDo71/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1K4h0YjH5B5bIKXX5Z1KqwW-XR3cWYi_9/view?usp=drivesdk,,,,{3bf56eb1-8dfd-49a4-9d29-4c2b557683b2},Point
9,NERO,MATC,Crocker Cirque Campsite,Official A.T. Campsite,Yes,MATC Crocker Cirque Campsite,244697,NA,Designated Campsite,7,4,0,None,3,Dimensional Lumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1975,One tent platform removed and replaced in 2021 and another removed and replaced in 2022,0.012764,MATC Crocker Cirque Campsite,IB14001000208620001515,1,100,N,Maine,FRANKLIN,New England,Congressional District 2,Maine Appalachian Trail Club,Summit of North Crocker Mt.,Caribou Valley Rd.,Summit of North Crocker Mt. to Caribou Valley Rd.,N,FEDERAL FEE - NPS APPA,45.04202471,-70.36128095,3.5,1.7,Uncorrected,GeoXT 6000,6/27/2017,9:00:49 AM,New,Campsite,File Not Specified,68,68,AT 2015 Inventory,1955,804.479,23.3,14.3,7.303016,-70.361281,45.042025,{daa8571a-10b8-4ba1-922d-d22cdc24f532},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,2/7/2023 6:28:41 PM,https://drive.google.com/file/d/1L2EWIV_50xB1OXXbw8NTuuoVbP0aO22P/view?usp=drivesdk,https://drive.google.com/file/d/1WDbGSHcS4t8glsY1k6VT-3IWOy7lxCcg/view?usp=drivesdk,https://drive.google.com/file/d/1QiJ4YvswnSo5IKCXnWArm2B40THbWUwt/view?usp=drivesdk,https://drive.google.com/file/d/1PJs1AzYHlYWAODWzIPBHgBF8slx-SWtK/view?usp=drivesdk,https://drive.google.com/file/d/1QvLeBaqGCPQwJEMCaizCFcpzP9Xuwrt7/view?usp=drivesdk,https://drive.google.com/file/d/1CzVCG5_Ua_9mPmwbW513ML5b-V2NrL6p/view?usp=drivesdk,https://drive.google.com/file/d/1JJojTfYK9EErM217pebXS_PeGY4bsY4y/view?usp=drivesdk,https://drive.google.com/file/d/1cd9dPZSarMUPfnXg0afVR6YOtIxAI4WY/view?usp=drivesdk,https://drive.google.com/file/d/1te-oTFonNh17FZ4NmPqKZU-mCHTD2b_D/view?usp=drivesdk,,{7c280910-eb76-4826-bf41-b6f21cd4761c},Point
10,NERO,MATC,Piazza Rock Lean-to Campsite,Official A.T. Campsite,Yes,MATC Piazza Rock Lean-to Campsite,250550,NA,Designated Campsite,3,0,2,Stone,1,Dimensional Lumber,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,None,Yes,1993,,0.005234,MATC Piazza Rock Lean-to Campsite,IB14001000208620001498,1,100,N,Maine,FRANKLIN,New England,Congressional District 2,Maine Appalachian Trail Club,Piazza Rock Lean-to,Highway 4,Piazza Rock Lean-to to Highway 4,N,FEDERAL FEE - NPS APPA,44.90404972,-70.53037582,2.7,1.4,Uncorrected,GeoXT 6000,8/24/2016,12:33:33 PM,New,Campsite,File Not Specified,79,79,AT 2015 Inventory,1911,616.108,27.2,14.5,5.459926,-70.530376,44.90405,{0ffb0867-0196-489c-b8cd-85504ba43724},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/11FTdYGjF76nGq7KNKZ8aPynB8G2E-L-r/view?usp=drivesdk,,,,,,,,,,{cc230e47-4567-4404-8f02-c03b2b560010},Point
