Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Pockets,https://www.trailjournals.com//journal/entry/260676,"After doing 5 section hikes in the past 5 years, and recently being laid off from work, I have come to the conclusion that this might be my best/only chance to hike the trail. I'm still looking for work, but given the state of the local economy, the opportunity to find local work right now seems pretty slim. I have 95% of the equipment I need (need a water filter, food, and maybe some cold weather clothes), the go-ahead from my wife, and lots of encouragement from my many brothers and sisters (who don't really think I'm going to do it). I have until early April to get things in order - planning to start April 15th to try and avoid the worst of the winter weather in the NC/Tenn mountains, so I'll probably fly down to Charlotte sometime around April 10th and have my brother 'Cotton' drive me to Springer Mountain. I plan on re-reading ""White Blaze Fever"" written by a 50 something year old guy (I'm 55) as a memory jogger to ensure I don't forget anything. Main thing I remember from all my other reading is that most drop off the trail due to injuries from going ""too far, too fast, too soon"".",,Gettin Started,"Jan 22, Thu",0
Pockets,https://www.trailjournals.com//journal/entry/260808,"I had a job interview yesterday. I think it went well, but you never know about these things. I wonder if my age (55) will be held against me. Still planning on hiking the trail if I don't have a job (or a really good prospect in sight) by April 1st, and will head to Springer around April 12th or 13th (just after Easter). If I do get this or another engineering position before April 1st, that will push my trail hike off until probably 2014 when others in my family would be able to do the AT as well. So....I'm starting to gather stuff that I need for a hike this year (filter, food, warm clothes, trail guides, and maybe new hiking boots. On my section hikes, I've been able to keep my pack weight down to about 40#, but that didn't included a water filter because I was sharing one with others. I haven't decided whether or not to replace my Jetboil stove...it is heavy but sooo convenient. My goal is to keep my pack weight the same as before (40#). I hope to avoid the coldest weather and most of the snow by waiting until April 15th to start. I've been re-reading ""White Blaze Fever"" to pick up on his 'hiker hints', especially those that pertain to older hikers.",, EMS,"Jan 27, Tue",0
Pockets,https://www.trailjournals.com//journal/entry/476595,"Jump ahead 5.5 years....The last entry was dated January of 2009 and I had just had a job interview. To summarize, I got the job, the thru-hike was put on hold, and I continued with my annual AT and PCT section hikes with brothers and sisters. But things are changing. I gave notice at work that as of March 31th 2015 I will be leaving my to 'pursue interests that will require my full time attention' i.e. thru-hike the AT. The job was/is great, I work with a great group of people, I am deeply appreciative that my employer was willing to take a chance on a 55 year old back in 2009 when the economy was tanking, but now I'm 61 and it's now or never. I choose 'now'. During my section hikes I've already covered about 800 miles of the AT, so I think I know what I'm getting into. I've hiked from Fontana Dam in N.C to I-81 north of Damascus, from Waynesboro to Front Royal in the Shenandoah National Park, and from Bear Mountain Bridge in NY to Woodstock in Vermont. I've also spent a week on the PCT in Washington State in 2013. These week long section hikes have been some of the best vacations I've had in the the past 11 years - eagerly awaited and long remembered.I've been getting the homestead prepared for my absence next year to minimize the chance that a domestic emergency will call me home (lawn mover repaired, septic system pumped, deck stained, driveway sealed, etc. I've gotten the flu and shingles immunizations and I'm working out at the gym 5 days a week after work alternating between cardio and weights. I don't really know what else to do to prepare. My sister 'Spyder' says that I will not finish because I am not certain I will be one of the 20% who do. I just think I'm a realist; only 20% finish so I know there's a good chance I won't make it. To think otherwise is self-delusion. I am also aware of the saying ""If you think you can, or if you think you can't, you're right"". I think I can! And as Yoda says “Do or do not. There is no try.”. So I'm not 'trying' to thru-hike, I'm doing it!!",,Reset,"Oct 16, Thu",0
Pockets,https://www.trailjournals.com//journal/entry/476902,"While perusing the other 2015 planning journals, it has become clear to me that I'll be near the tail end of the northbound-from-Springer hiker pack in 2015. There are a couple of benefits to this, primarily that I should miss most of the snow , and secondarily that there is a greater chance that there will be room for me in the shelters. (A downside is that the shelter mice will be highly experienced in the art of stealing hiker food). I don't particularly like sleeping in freezing temperatures. Even if I manage to stay warm during the night, dragging myself out of a warm bag into cold and maybe windy weather is near the bottom of my ""Things I Enjoy"" list. Since I tend to deal with heat better than cold, delaying the start date until mid-April seems like a good idea, although I'm aware that it might put me in New Hampshire and Maine during the cold months of autumn. My modus operandi has throughout life typically been to delay dealing with problems (i.e cold weather) rather than tackling them head on. By delaying, who knows, the problem may take care of itself. (This trait, by the way, can be found in psychology books under ‘character defects’, and doesn't always go over well with my wife with regard to fixing things around the house).On a different tangent - There's a number of different ways I've looked at a thru-hike on the AT. At first I just considered it a socially acceptable way to live the hobo life - the Tom Sawyer/Huck Finn carefree walkabout. That evolved into looking at it as a type of pilgrimage - similar to Muslims trekking to Mecca or the Christian version as written about in The Canterbury Tales. Now I tend to look at it as more of a transition/reset event similar to Marine Corps boot camp (yes, I was there) - a disruption of old habits/lifestyle/routines/attitudes out of which comes, presumably, a new appreciation of a simpler, less hectic, and less materialistic life. (This was NOT the goal of MCRD, Parris Island, however - they had a different sort of transformation in mind).""A ship is safe in the harbor, but that is not what ships are built for""William G.T. Shedd",,5 Months,"Oct 22, Wed",0
Pockets,https://www.trailjournals.com//journal/entry/478406,"I've been kind of wishy-washy on the start date: On the one hand, I don't particularly want to be hiking and setting up camp in the snow; on the other hand, I want to give myself enough time to finish the hike without worrying if I have enough time. Originally I was planning on quitting work on March 31st and starting the AT on April 15th. Now I am leaning towards quitting on or around March 22th and heading south the Monday after Easter (April 6th). 9 or 10 days isn't a big deal in the over all scope of things, I guess, but it will probably put me 150 miles further down the trail at any given time. Probably lots of people starting early April, so there will be less room in shelters.My conditioning has been going well - getting lots of uphill miles on the treadmill at Planet Fitness (maybe they'll sponsor me!). It provides double service since I am doing the treadmill (6 miles MWF, 3 miles plus weight machines on TT) in my hiking boots, breaking them in. I'm the only one there wearing hiking boots (Merrell) with medium weight wool socks - everyone else has the latest in color-coordinated light-weight training shoes. I've often wondered about that - if you go to the gym to get a good workout, why be concerned about having lightweight shoes - kind of like searching for the closest parking spot so you don't have to walk as far to get into the gym. On an equipment note, I had been thinking about replacing my 30F sleeping bag with a 20F bag, but decided instead to get a sleeping bag liner (Sea to Summit Reactor Extreme) to provide some extra warmth. I'll use the money saved to get some better clothes.",,4 Months,"Nov 22, Sat",0
Pockets,https://www.trailjournals.com//journal/entry/479288,"Went to see Wild yesterday - been looking forward to seeing it ever since I read the book and saw a preview. I was watching it trying to decide if it would entice more people to hike the PCT. I think it will - it didn't show the strenuous work it takes to climb the hills/mountains. I've done a lot of section hiking on the AT and there are times when climbing that you take 80 steps, stop to catch your breath, take another 80 steps, stop again to get your breath, another 80 steps, etc. In the movie Wild, none of this work is shown - in one scene Reese is in town for a re-supply - in the next she's traipsing around the tops of the Sierra Nevadas. There are about 6 different things that motivate people to do long distance hiking - adventure, the challenge, emotional therapy, to think out life transitions, personal growth, and to live the trail culture (OK - I'm sure there are more than these 6). Wild was very heavy on the 'emotion therapy' motivation.   All that being said, I did enjoy the movie.My planning has been progressing, although slower than it should be. I've put all my monthly payments on 'auto-pay' - all I need to do is keep enough money in the checking account. I've acquired all my 'stuff' except for perhaps another 1 or 2 pieces of clothing. I need to start planning my 4 or 5 mail drops - where they will be and what will be in them. I also need to get the maps and data books.As a note of interest, one of my sisters is also hiking the AT this year - starting before me. One thing I've learned from my section hiking is that I prefer to hike alone. When section hiking with my brothers and sisters, I have found it is very hard to HYOH. I don't want that limitation on my thru-hike. I guess that might be a bit selfish of me, but a thru-hike is a selfish endeavor in any event. It's something that one does for oneself, and is, for most of us, just tolerated by spouses left at home.Only 100 more days of work!!!!!!",,Wild,"Dec 21, Sun",0
Pockets,https://www.trailjournals.com//journal/entry/479769,"Planning is beginning in earnest now. I finally figured out how to get to Amicalola Falls State Park from my home in Western NY. I'll fly into Atlanta airport on April 6th with a mostly empty backpack containing only my trekking poles and sleeping pad (things that won't fit into the 16""x16""x16"" box that I will be shipping ahead with everything else). I'll carry the backpack as carry-on luggage so no chance it will get lost - I've done this before and it works well - fits into the overhead compartments. At the Atlanta airport I can pick up the MARTA Rail Transit system and take the Red Line all the way north to the end of the line at North Springs. There the fine folks from the Hiker Hostel in Dahlonega will pick me up and shuttle me to the hostel, reunite me with my hiking gear, put me up for the night, feed me in the morning, then shuttle me to Amicalola Falls on April 7th. So this nails down my start date - it was floating around a bit till now. I'll be purchasing my ticket in the next couple of days - looks like the lowest Southwest fare is about $172. I just need to find out what time I need to be at North Springs before I get my ticket.I'm tentatively thinking of 8 mail drops (Hot Springs NC, Damascus VA, Waynesboro VA, Harpers Ferry WV, Duncannon PA, Salisbury CT, Hanover NH, and Caratuck, Me). I haven't nailed down what will be in them yet other than fresh socks, vitamins, some food, fresh boots (but already broken in), and other stuff. I could probably get by without the boxes, but I want to plan them ahead since I know there are things I will need that I haven't anticipated and I want to have a way for my wife to get them to me. So the contents won't be nailed down until about 2 weeks before I get the boxes.",,3 Months,"Jan 03, Sat",0
Pockets,https://www.trailjournals.com//journal/entry/480312,"I've added up the weights of all the stuff I will be starting with down at Springer - it's about 41 pounds including 2 quarts of water (4 pounds) and 8 pounds of food (2 pounds per day for 4 days to get to Neels Gap). This is about 3 pounds more than I was hoping for - so I started looking for things to cut. So why do I carry two sleeping pads - a long Thermarest Ridgerest (19oz) and the Big Agnes large AirCore mattress (31 oz). Well, I found out last night when I tried to sleep outside in the tent (on snow with temps about 32 deg) without the Ridgerest. I was warm except where I was laying on the Big Agnes. The ground was sucking heat from me like the Big Agnes wasn't even there. After 3 hours I retreated to the house - no point in losing any more sleep when I had already learned what I needed to learn. The Big Agnes has an R value of 1. The Thermarest has an R value of 2.6, so if they are used together (R value of 3.6), I would lose only about 1/4 of the heat that I was losing with just the Big Agnes alone. On some of my section hikes I've tried sleeping using the Ridgerest by itself - that's not an option. I'll try the combo in the cold next weekend to verify that is good enough. I can't think of anything else to cut - so at this point it looks like I'll be starting with a 41 pound pack.The gear we select is always a compromise between weight and comfort/convenience. If someone were to analyze my pack, they would come to the rightful conclusion that I have generally veered in the direction of comfort/convenience (Jetfoil, the large Big Agnes pad, MSR Miniworks filter, etc). There are lighter choices for all of these (alcohol stove, small closed foam pad, AquaMira drops, etc) but I've come to the realization that I am more likely to complete this hike if I can sleep well at night, drink lots of clean water, and not burn myself by spilling burning alcohol on myself. Others will find a different route to success. ""There are two kinds of adventurers: those who go truly hoping to find adventure and those who go secretly hoping they won't."" — Heat Moon",,2 1/2 Months,"Jan 18, Sun",0
Pockets,https://www.trailjournals.com//journal/entry/481437,"Does everyone have doubts about the wisdom of their thru hike attempt? I wonder if my 62 year old knees, bones, feet, and tendons can take the abuse, and I wonder if I realize what a 5-6 month long hike really means. My sibs who are betting my sister ""No Spring Chicken"" will get further than me [friendly family rivalry] will see these as confirmation that they are backing the right horse. The only way to answer these questions is to head to Springer in early April. I like the bets…I hate to lose, so it’s just another incentive, however small, encouraging me to persevere when the going gets tough.I've started looking at the hike differently yet again. I had, perhaps, subconsciously, looked at it as just a longer version of the section hikes I've been doing for 11 years. But that's not how I see it now as it draws closer. A section hike is a vacation from work for a week or so.   I'm always sorry to see the section hike coming to an end while I'm doing it, but at the end of the week I'm back at work and life returns to normal. This upcoming thru-hike is not a vacation – it’s an expedition, and life won’t return to normal after a week or so. Like the expeditions of old, where you packed your steamer trunks, caught a boat to Africa, hired guides and porters, etc, an AT thru-hike requires a lot of planning, which I'm not particularly good at. Youthful hikers have a lot of resiliency which gets them through rough spots. Planners have their plans (A and B) and contingency plans (C, D, and E) which do the same. I'm somewhere in between. The solution is to get the final planning completed as best I can, I think, and then just let things flow from there. I always think of myself as a realist (who doesn't?), so I know that the odds of being one of the 80% who don't make it to Katahdin are pretty good, but I'm also pretty sure that the only things that will get me off the trail will be a serious injury, illness, or family emergency. My sister Spyder (one of them betting against me) says that my lack of certainty that I'll be one of the 20-25% who make it dooms me to failure, but then again she believes in psychics and mediums so.....Thanks to all who leave notes in my guest book. I'll probably meet some of you in the coming months, the others will help me keep focused on the journey.“Always remember, it’s simply not an adventure worth telling if there aren’t any dragons.”",,About 1 1/2 Months,"Feb 13, Fri",0
Pockets,https://www.trailjournals.com//journal/entry/482422,"I’ll have 2 brothers and 2 sisters out on the AT this summer at the same time I’ll be doing the AT. Cotton and Spyder will be section hiking in the Whites in July, No Spring Chicken (NSC) will be thru-hiking (but starting earlier than me) and will be joined by brother Chuck (no trail name yet) in the GSMNP. Could this be a record of some sort – 5 adult sibs on the trail in the same year? I’ve wondered about how the trail pulls some to it, but not others who are equally capable in terms of opportunity, physical ability, and awareness of the AT. For those of you old enough to remember the 1977 movie “Close Encounters of the Third Kind”, it reminds me of how the Dreyfuss character is drawn to Devils Tower in Wyoming. Like his wife (Terri Garr) in that movie, those who don’t feel the pull think that those who do are suffering from some sort of mental illness. Yet compared to other famous expeditions (I’m thinking here of Lewis and Clark’s exploration of the Louisiana Purchase or maybe Dr. Livingston’s journeys into Africa in the mid-1800s, or even the tens of thousands of Americans who populated the wagon trains headed west), our expedition is short, safe, comfortable, and predictable. With the cold winter we’re having that extends down to Georgia and North Carolina, it seems likely that many of those planning an early March start might re-think their plans and move their start date back. Some may not have that option, but it seems as though most might. I’m not planning on starting until April 7th and I thought that this date might result in a less crowded trail when I start. That might not be the case now, which is fine with me. I didn’t delay my start because of a fear of a crowded trail – it was more of a desire to miss the worst of the cold temperatures. This desire stems from my section hikes in August in the GSMNP where even in the middle of summer the evenings and nights got quite cool, sometimes even cold at the higher elevation where we were hiking. Even during the days when it was a humid 90 degrees in the cities east and west of the trail, it was just in the comfortable 70s up above 5000 feet and in the 40s or lower at night. I’m sure I have adequately prepared for April and May in the GSMNP, but if necessary I will wear all my clothes at night to keep warm. I do not sleep well when cold.My wife gave me a Fitbit Charge for Christmas. It keeps track of how many steps (and miles) I walk each day - a high-tech pedometer. What makes it unique is that it logs all this on the computer at home even when I’m 1000+ miles away so that anyone can see how far I’ve walked on any given day. It has helped me keep track of the training I’ve done in prep for my upcoming adventure and I think it will be very interesting to see how many steps I take each day while on the trail and if it really takes 5,000,000 to reach Maine. It works by monitoring arm motion – I haven’t verified that it will continue to work while I’m using trekking poles, but I believe it will. It should be a big help in estimating how far ahead the next shelter is. If it turns out to be too much of a distraction, I’ll just send it back to home base at the same time I send back my cold weather clothes.",,1 Month!!!,"Feb 28, Sat",0
