Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Devil Doc,https://www.trailjournals.com//journal/entry/527375,"For 3 years now I have attempted to plan a AT Thru Hike.
2014. Retirement, adjustment in life and death of parents changed plans.
2015 Death in family, 2 weeks later end up sick and in hospital. Guess better then on trail. 
2016. 5 or 6 surgeries since September 2015, no gym, and now a lot more added pounds!!!!!! Over weight and now totally out of shape except round!!! Lol. So being in this condition cancelled plans for 2016.
Loss of two airfares and a shuttle! But that is what it is!! 
See what the future brings",,As far as I can go,"Mar 11, Fri",0
Devil Doc,https://www.trailjournals.com//journal/entry/527384,"If a man does not keep with his companions,
    Prehaps it is because he hears a different drummer.
  Let him step to the music which he hears.
However measured or far away.    
HYOH        Henry David Thoreau",,As far as I can go,"Apr 07, Thu",0
Devil Doc,https://www.trailjournals.com//journal/entry/527320,"Fast foward to April 2016 
WTF am I thinking. The Dr. cleared me to get back in the gym with no restrictions a few weeks ago. But we know how hard it is to start back after 6 moths! 
Well now it's a few weeks late later. I'm thinking its time try. I will take it slow and easy, sure many other hikers will pass me! But I always have said and believed the ""only failure if life, is the failure to try! While I know from the stand point of many, this is the worst time to try, that I should wait and get in shape. But I'm willing to do low miles and suck it up. I know I can't and I'm not trying to impress or keep up with anyone. But thinking the time has come to clear the head, loss some weight and get back my fighting spirit!!!!! Many of long timed planning and in shape hikers have failed, but some out of shape and last minute hikers, some how made it!! While I may and probably won't make it all the way to the BIG K. I want and will hike till my hike is done. HYOH",,As far as I can go!,"Apr 08, Fri",0
Devil Doc,https://www.trailjournals.com//journal/entry/527287,"Shit is getting real. Flight booked, Shuttle and first night in Hiker Hostel set up. Can say the anxiety level is building!!!!!!! WTF am I thinking. I see some short mile days for a week or so LOL Done long hikes and military humps. But that was a long time ago and a lot less fat!!!!!!!!! One foot in front of the other. One day at a time. Not a race, It's the journey that matters. No matter how long or short. It's more than sitting on the couch and more than most will even try. Just have to keep telling myself that. Right? LOL",,As far as I can go!,"Apr 09, Sat",0
Devil Doc,https://www.trailjournals.com//journal/entry/527288,"Appalachian Trail Thru Hiker Spousal Support Creed
He(She) is to never quit on a rainy day!
He(She) is to never quit on a bad day!
He(She) is never to quit going up hill!
I only need him(her) to come home if the house is burning down, someone is real sick or is dead!
I will not let him(her) give up without good reason!
If I don’t hear from him(her) for a day or two, by phone or PLB message I WILL NOT PANIC!!!
I will remind him(her) that I and The boys(family) love him(her), 
But will not talk long about missing him(her)!
I will remember that he(she) loves me !
In the end. I will remind him(her) that’s it’s ok, whether he(she) makes it to Flint Mt. Shelter, Sunrise Mt or Mount Katahdin. 
As long as he(she) followed the above rules.
I will remind him(her) to be happy long as he(she) hiked his(her) own hike.
JEP / Devil Doc 2015",,As far as I can go,"Apr 10, Sun",0
Devil Doc,https://www.trailjournals.com//journal/entry/527377,"Man gains strength not only by what he has achieved, but also what he has failed at. His only true weakness is failing to attempt what he fears. 
By JEP/Devil Doc",,As far as I can go,"Apr 11, Mon",0
Devil Doc,https://www.trailjournals.com//journal/entry/527381,"Like I said! I added a few extra pounds. Now I;m rying to find new fat boy pants. Nothing like the last minute!!! LOL One little voice says postpone the hike. The other says put on your new big fat pants and suck it up. If you don't mind, it does not matter!!!    Oh thats right i leave in 4 days LOL",,As far as I can go,"Apr 11, Mon",0
Devil Doc,https://www.trailjournals.com//journal/entry/527606,Settting up InReach Explorer. Yes I know it's not needed. But keeps the wife happy. If im like a Ford! Or in this case FOTD (found on trail dead) Atleast they will know where to find my dead ass. LOL. It really is pretty cool and on the money with your location. May be worth the extra weight God forbid some thing happens.,,As far as I can go,"Apr 11, Mon",0
Devil Doc,https://www.trailjournals.com//journal/entry/527604,"Got my new fat boy pants in one day LOL. Thanks REI great service!!!
One less thing to worry about.",,As far as I can go,"Apr 12, Tue",0
Devil Doc,https://www.trailjournals.com//journal/entry/527703,"Well one day closer.   Pack is still to heavy but oh f,ing well may cut camera save almost 2 pounds and just use phone. But this may never come along again. More than one person has went through it and I can't leave to much behind. Plus I do want some comforts.   
“Dream like life goes on forever,
Live like it will end tomorrow.""
JEP / Devil Doc",,As far as I can go,"Apr 13, Wed",0
Devil Doc,https://www.trailjournals.com//journal/entry/527856,"Amazing what little you really need to survive in life. This box contains my house with kitchen, bathroom, pantry, entertainment center, bed and toilet. Lol. Moving day. Unorganized as it is is it to late to turn back? Lol",,Airport,"Apr 13, Wed",0
