Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Rock n Roll,https://www.trailjournals.com//journal/entry/660089,,,View Entry,"Feb 08, Wed",0
Rock n Roll,https://www.trailjournals.com//journal/entry/660090,"Doing an entry on my iPhone. Testing to see how easy or hard it will be, after all, I will be doing this journal using the iPhone out on the trail. So far so good, not too bad. But then again, I’m sitting in my chair at home, not in my tent out there—- could be slightly different then.",,View Entry,"Feb 08, Wed",0
Rock n Roll,https://www.trailjournals.com//journal/entry/660091,"Completed 3 day 2 night 31 miles, shakedown backpacking trip in the Ocala National Forest with a couple of friends. Cold the first night but cozy in the tent and sleeping bag, great weather overall. Lessons learned: triple check everything before you leave home, didn’t take my battery charger for my electronics. Took too much clothes (clothes bag too heavy and bulky and half not needed) And make sure the water bottle cap is tight before you throw it inside the tent….",,View Entry,"Feb 08, Wed",0
Rock n Roll,https://www.trailjournals.com//journal/entry/660176,"I am an activity leader for the Florida Trail Association, Highlanders Chapter. I recently led a group of 32 hikers on a 6-mile hike on the FT. During the hike, I got many questions about my upcoming thru hike of the AT. Most questions centered around; hiking alone, how long will the thru hike take, what about bears and snakes, tent camping and food resupply. I was surprised at all the interest and questions; it all was a good and quite enjoyable. Showed me that many people are interested in hiking the AT and maybe even thru hiking one day. Of course, I told them about Trail Journals and this blog I will keep. A little self-promotion doesn't hurt :)",,View Entry,"Feb 16, Thu",0
Rock n Roll,https://www.trailjournals.com//journal/entry/660281,"My second shakedown hike was another three-day two-night outing. A total of 31 miles on the Florida Trail in the north part of the Ocala National Forest. I believe I have all my gear ready and dialed in. Total backpack weight is 25 pounds including 2 liters of water and food for four days. Weather was clear all three days but warm, highs in the afternoon were in the mid to upper 80s!! I was hoping for some cooler weather for this hike, but I'm in Florida. Lessons learned this trip is to make sure all items are out of the tent before I break it down and pack it up. I keep forgetting to check the tent pockets and packed up my glasses, car keys, and knife in the tent! Panicked a little when I couldn't find these items, especially after going thru my already packed up backpack. What a relief to find everything. I don't think I'll forget making sure the tent is totally empty now before I pack it away!",,View Entry,"Feb 25, Sat",0
Rock n Roll,https://www.trailjournals.com//journal/entry/660487,"Yes, 14 days and I’ll be on the trail!! It’s getting real. I have all my gear ready and planning is done. I’ll be doing a few more day hikes and possibly another overnighter. Practiced putting up and taking down my tent several times as well as packing/repacking all my gear in the backpack. Probably do that a few more times as well, lol!!",,View Entry,"Mar 07, Tue",0
Rock n Roll,https://www.trailjournals.com//journal/entry/660818,"Six more days until I’m on the trail, I’m ready to go and anxious to get going. Today I did a short 5.5 mile hike with a group of friends. I was surprised at all interest and questions about the AT, my plans, trail towns, and the like. All great questions and conversations. I will miss my local hiking buddies but will be meeting many more new friends on the trail :)",,View Entry,"Mar 15, Wed",0
Rock n Roll,https://www.trailjournals.com//journal/entry/661064,"Tomorrow I start, went to the check in point today and got hiker number 1453. I’m ready to do this!!",,View Entry,"Mar 20, Mon",0
Rock n Roll,https://www.trailjournals.com//journal/entry/661141,"8.1 miles plus 1. Parked at Springer Mountain parking lot which is a mile from the summit and the southern terminus of the AT. Cold morning and there was ice along the trail, nothing major. We went up to the summit and back down to the car to get my backpack and started hiking again, thanks Steve for driving me up here to do this!! Meet several people also starting their thru hike and a few more out for section hikes. When I got to Hawk mountain shelter about 20 people were already there, I found my spot, set up the tent and after eating, crawled in before sundown.","Springer Mt 
",Hawk Mt shelter,"Mar 21, Tue",8.10
Rock n Roll,https://www.trailjournals.com//journal/entry/661142,"7.6 miles today, mostly in the rain!! I was not expecting rain. Rain on and off all day and into the night, drizzling and light rain. Fun fun. Stopped long enough for me to fix dinner and set up the tent then it started raining again, everyone crawled into their tents early. Basically everything was wet except my clothes bag, sleeping bag and air mattress. Thanks those items were dry!!","Hawk Mt Shelter 
",Gooch Gap Shelter,"Mar 22, Wed",7.60
Rock n Roll,https://www.trailjournals.com//journal/entry/661143,"4.8 miles today. At least it quit raining before I had to break camp. Packing up a wet tent and most everything else wet, first thing in the morning is an experience!! But, got the backpack all loaded up and headed out. Today was a short day as I was meeting my friend at Woody Gap. He picked me up, went to Walmart to resupply, then to a nice cabin, to get cleaned up, dry out and have a warm bed for the evening. Headed back out on the trail tomorrow morning!!","Gooch Gap Shelter
",Woody Gap,"Mar 23, Thu",4.80
Rock n Roll,https://www.trailjournals.com//journal/entry/661183,"Another half day hiking. 4.3 miles. Steve and Karen picked me yesterday at woody gap, took me to resupply, then to their air b&b to clean up, dry out, have a good meal and warm bed. Out to breakfast this morning then back to the trail by 10:30. What great friends! Thanks you guys! I had to make a decision to stop here for the night or push thru another 6.5 miles and over the big blood mountain to the next available camping spot for me, I opted to call it a short day. Why push it. I’m on top of a nameless mountain with a great view. All is well","Woody Gap
",Steath campsite ,"Mar 24, Fri",4.30
Rock n Roll,https://www.trailjournals.com//journal/entry/661233,"Rain wind and a thunderstorm this morning before dawn. But all dry in the tent, The rest of the day was beautiful blue sky and perfect temperature for hiking. Meet 2 SOBO (south bound) thru hikers about to finish their hike! Very cool. Up and down Blood Mt today was no joke, slow going but got it past me. In my tent by 6 to get rested up for tomorrow. 8.1 miles today.","Steath campsite 
",Bull Gap,"Mar 25, Sat",8.10
Rock n Roll,https://www.trailjournals.com//journal/entry/661301,"10.4 miles It was a nice hiking day, cool in the morning and hotter later. Many hikers out on the trail, and I’m starting to see the same folks over and over. They stop for a break, I pass then I stop and they pass. Amazing trail magic today at lunch, a huge spread for hikers, food, drinks, snacks. Nice people who kept trying to load your plate with more! Lots of tents and people in the shelter when I got there. I was happy in my tent, even if it did rain some in the evening.","Bull Gap
",Low Gap Shelter,"Mar 26, Sun",10.40
Rock n Roll,https://www.trailjournals.com//journal/entry/661302,"I started hiking about 8:30 this morning. The first 3 miles was not bad at all and I made good time. Then the PUDS (pointless ups and downs) started. Mostly small but there were two big ones mixed in just to kick my butt. I wanted to get to Unicol gap before four to catch the free hiker shuttle into Hiawassee. I made it by 3:30!  Got to hotel and made it to the free town square hamburger and hotdogs cook out. So good after a few days of hiking. I’m taking a zero day (no hiking miles) tomorrow to get a good night sleep, clean up,  resupply and just relax!!","Low Gap Shelter
",Unicol Gap,"Mar 27, Mon",9.70
Rock n Roll,https://www.trailjournals.com//journal/entry/661332,"I took a much needed rest day today. It was good to resupply, clean up and rest up! But, will be back on trail tomorrow.I got my trail name today in a very unlikely way. At the Holiday Inn in hiawassee, ga. The 83 yo breakfast host guy, walked up to me and said “Rock and Roll”. I jumped, half asleep and looked up. He said, your shirt, it says Rock and Roll. I said O yes, it does. I told this story to a couple other hikers later in the day and they said that’s it! Your trail name. And so it is","
",View Entry,"Mar 28, Tue",0
Rock n Roll,https://www.trailjournals.com//journal/entry/661359,"I didn’t get on trail until 11:45 because of waiting for the free shuttle from in town to Unicol Gap, that’s okay, the zero day yesterday was much needed. 5.7 miles for a half day hiking. The hike was over two good size mountains but made it to camp in plenty of time to set up my tent, cook a little dinner, and get water. Probably about 12 people here tonight in tents, hammocks and a few in the shelter. Suppose to get 35 degrees tonight, I’ll bundle up and should be fine!","Unicol Gap
",Tray Mt Shelter ,"Mar 29, Wed",5.70
Rock n Roll,https://www.trailjournals.com//journal/entry/661419,"Full day of hiking, a total of 9.9 miles. Beautiful day, very cool in the morning but warm most of the day. I’m hiking in a little bubble of hikers, saw the same 8 or so all day. Kept leap frogging each other as we’d stop for a break, get passed then they would stop and I’d pass. Six of us are now at the same campsite. Going to sleep now and get up tomorrow and do it all again.","Tray Mt Shelter 
",Moreland Gap,"Mar 30, Thu",9.90
