Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Hooshr,https://www.trailjournals.com//journal/entry/478066,"I moved to Virginia in 2008 from Indiana. Prior to the move I was by no means a hiker. I participated in various sports, i.e., racquetball and running and always looked forward to a challenge, i.e., can I do it. This led me to run marathons, half marathons, 10k, 5K, racquetball tournaments, etc.. My move to Virginia kindled a greater appreciation of outdoor activities. I live within easy driving distance of the AT and proceeded to tackle an ever increasing number of AT day hikes in the Roanoke VA and Southwest VA areas. It didn't hurt that I see McAfee Knob everyday from my deck. This lit the ""spark"" and the commitment to thru hike the AT, i.e., another challenge. I can honestly say I feel a ""calling"" to take on this challenge. I hope to have completed a successful career in corporate America by the end of 2016. I am blessed to have a wife of 35+ years who fully supports my dream. I read everything available regarding the AT, absorb all I can through Trail Journal entries, White Blaze and personal contacts. There is much to learn, but with a two year head start I am confident in my commitment and preparation. I only wish I could start sooner.",,View Entry,"Nov 12, Wed",0
Hooshr,https://www.trailjournals.com//journal/entry/478665,"My 2017 AT thru hiking partner and I took advantage of a day off and great weather to hike Dragon's Tooth to VA 620 on November 24, 2014. A distance of approximately 8.5 miles. Great views from Dragon's Tooth back toward McAfee Knob. Felt great to get out and push ourselves. The route to Dragon's Tooth involves hand over hand rock climbing the usage of rebar drilled into the rock, but well worth the effort at the top. Nothing like mountain air to recharge and get us ready for the full AT.",,Dragon's Tooth to VA 620,"Nov 24, Mon",0
Hooshr,https://www.trailjournals.com//journal/entry/478666,"Another day with great weather. Hiked up to Cascade Falls to Barney's Wall in SW Virginia, near Pembroke VA. Mild weather and virtually no one on the trail. The solitude and scenery are invigorating. Total distance 8 miles, felt great. Picture is stream leading up to Cascade Falls, which has drop off of approximately 60 ft, very impressive.",,Cascade Falls,"Nov 25, Tue",0
Hooshr,https://www.trailjournals.com//journal/entry/479575,Everything is in preparation for 2017 thru hike. Today we did an 8 mile hike with 2017 hiking partner ShipShape from Dalevile VA 220 Park and Ride Lot to Hay Rock. It is an 8 mile out and back with climbing early and then ridge walking with views of Carvins Cove. We had a little exitement when we met a gentleman who askedus help him find his dog who had encountered a bear along the AT. One of his dogs had a substantial wound on its neck inflicted by the bear. We found the lost dog and returned him and fortunately did not encounter the bear. Overall a great day to hike.,,AT - Hay Rock,"Dec 26, Fri",0
Hooshr,https://www.trailjournals.com//journal/entry/480003,"Preparation for 2017 thru hike is alwyas on my mind. I took a major step this week by registering for Appalachian Trail Institute conducted by Warren Doyle. It is scheduled for April 13 -17, 2015. Warren Doyle has sixteen thru hikes under his belt and should have valuable information to share. I am a big believer in tapping into someone else's experience as a learning tool. Looking forward to learning more about myself and the AT.",,View Entry,"Jan 09, Fri",0
Hooshr,https://www.trailjournals.com//journal/entry/480668,"Preparation hike on January 24, 2015 from Troutville VA to Fullhardt Knob Shelter. Significant temperature and wind change as we gained elevation, along with ice. Out and back hike of 8 miles with approximately 2000 ft elevation change. Hands and fingers got cold on descent - lesson learned use mittens and not gloves. Beautiful blue sky with ice droping from trees as we reached summit and Fullhardt Knob Shelter. Great solitude. All in all a good hike with eye toward 2017!",,Fullhardt Knob Shelter,"Jan 24, Sat",0
Hooshr,https://www.trailjournals.com//journal/entry/485839,"Hike with Roanoke Appalachian Trail Club. 12 miles following old AT trail between Dragon's Tooth and Tinker Cliffs. Great views of McAfee Knob. Cold temperature to begin, i.e., 20 but warmed up to 50's by mid afternoon. Lessons learned - I need to utilize mittens on cold mornings as fingers got cold using smartwool liners.",,"North Mountain - March 29, 2014","Mar 29, Sun",0
Hooshr,https://www.trailjournals.com//journal/entry/489870,"Participated in Warren Doyle's Appalachian Trail Institute April 13 - 17, 2015, along with 12 other future AT hikers. Located in Mountain City, TN the course consisted of classroom instruction/advice along with three (3) AT hikes in the Damascus/Mt Rogers area. Hikes ranged from 6 - 9 miles. Warren has an immense amount of AT knowledge, i.e., 9 thru hikes and 7 section hikes. I gained valuable information about, hiking poles ( 1 vs. 2), descents, i.e., short steps - palm your hiking pole, tent vs. tarp, clothing, food on trail, etc. He has strong opinions and is not hesitant to share, but great information and I will take it all in and decide what to use, i.e., ""hike your own hike."" Great group of hikers with three (3) dropping out on the first day. We plan to keep in touch and share our experiences.",,View Entry,"Apr 21, Tue",0
Hooshr,https://www.trailjournals.com//journal/entry/492728,"Returned to Mills Run Creek trail on Saturday, May 2, 2015 with my wife Jill. 8 mile round trip hike with 3 waterfalls, long rhododendron tunnels and connection to AT. This hike would be particularly beautiful when rhododendron are in bloom, i.e., early to mid June. Connection to AT is about 2 1/2 miles from Angels Rest. Overall good hike!",,View Entry,"May 02, Sat",0
Hooshr,https://www.trailjournals.com//journal/entry/505469,"My plans have changed. I originally planned to wind up my corporate career in late 2016/early 2017 and NOBO 2017. As a result of the acquisition of my employer and the elimination of my position, my plans changed. I am now planning a NOBO 2016 thru hike. Let the plans and preparation begin.",,View Entry,"Jul 15, Wed",0
