Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Bampa,https://www.trailjournals.com//journal/entry/582595,"OK, this is my first entry on Trail Journals and it is mostly a test and to help satisfy the need for 3 entries before they get posted online. Stay tuned, more to follow.",,View Entry,"Jan 31, Wed",0
Bampa,https://www.trailjournals.com//journal/entry/582596,"Moving right along, this is the second of 3 required entries.Many details have been worked out. Travel plans finalized, hotel reserved, money budgeted, to name only a few. As I have been actively backpacking for 47 years I thought I would not have much gear to buy. Over the last 5 years a lot of my stuff started wearing out. When replacing gear it was with a mind for my through hike. I only have 1 or 2 more things to get and those should be done in the next couple of days.Tomorrow I take over the spare bedroom as my packing room. This should give me room to lay out all my gear and change, swap out things.",,View Entry,"Jan 31, Wed",0
Bampa,https://www.trailjournals.com//journal/entry/582620,"This should be the third required entry for everything to be posted online. HOORAH
In January a good friend and I drove from our homes in upstate New York to Harpers Ferry, only a 4 1/2 hour drive one way. The weather and company were good and it was a very good day trip. At AMC headquarters I was able to get everything done I wanted to. Membership in AMC, check, register my thru hike, check, talk to and get intel from headquarters staff, check. I can't say enough about the people at AMC headquarters, very friendly with tons of knowledge and experience. Also with a good deal of patience as they answered all of my questions, questions I'm sure they have been asked over and over. I did also buy one last book off their shelf, ""Thru"". This turned out to be a good read about a fictional group of thru hikers dealing with group dynamics and the challenges of the trail.",,View Entry,"Feb 01, Thu",0
Bampa,https://www.trailjournals.com//journal/entry/582639,"I have for a long time had the plan of not taking a stove and eating cold meals. Some weekend trips were used to test this and it went very well. But this morning I'm sitting in my nice warm house while outside the wind chill is below zero. My next thought was that early on for my hike a warm, if not hot, meal at the end of the day would be a morale booster. So I started playing with the small alcohol stove that is pictured. It weighs next to nothing, burns for 30 minutes when full and boils 2 cups of ice cold water in less than 15 minutes. I still need to play with this some more, but this just might make the cut. After I get out of the cold weather it would be sent home.",,View Entry,"Feb 02, Fri",0
Bampa,https://www.trailjournals.com//journal/entry/582732,"For the last couple of months anyone who comes anywhere near me has gotten an ear full about my thru hike. In return the number one question I get asked is ""why are you doing this"". This becomes a very personal question as there are as many reasons why as there are thru hikers.For me, there are several reasons and these are not in any order of importance. I have wanted to do this hike since I was 18, a long time to have a goal. It is the ultimate challenge for what I love to do. To be an inspiration for my grandkids, to take on the hard and difficult challenges no matter how daunting they are. One last reason, I do not want to be sitting on my porch years from now in a rocking chair and ask my self ""I wonder if I could have hiked the AT, if only I had tried"". I would rather try and fail than to have never tried. If I fail, it would be disappointing but I would be OK with it knowing that I gave it my best effort. Having written this, it is the only time I will entertain a defeatist attitude going forward.There are probably other reasons that I will discover later, but for now I hope that at least one of the above will get me thru the hard days that I know are coming.",,View Entry,"Feb 07, Wed",0
Bampa,https://www.trailjournals.com//journal/entry/583330,"To say that I'm getting excited does not even begin to describe it. I knew I was getting close to my start date, but when I looked at the calendar I found that I was 28 days till start. Holy cow, that is really soon. I need to knuckle down and get some of the detail planning done for the first 2 weeks of this journey. The plan is to have only a few drop boxes sent to me and they need to be finalized. Most of my supplies I will pick up in towns along the way. When in a town I can also get a couple of good meals under my belt and if needed stay in a hostel/motel when worn out. Can't wait till I can eat like a teenager again and still loose weight. Since last July I have lost 26 lbs. thanks to Weight Watchers. That's 26 fewer lbs. that I need to drag on the trail.
Travel plans:
Spend a few days at Raleigh, NC with our son and his family.
3/23 - day hike the approach trail, 8.8 miles up and 8.8 miles down ""CURRAHEE"" (homage to Band of Brothers).
3/25 - boots on Springer and start my hike.
Guess I had better get back to my planning table. It is said that no rain no pain, no Maine. Without planning, no Georgia.",,View Entry,"Feb 25, Sun",0
Bampa,https://www.trailjournals.com//journal/entry/583492,"This morning I thought that I would go back over to where I used to work. The goal was to share information about this journal with a woman that I had the good fortune to work with. She in turn sent emails to everyone else in the department with the internet link. As I started to walk down the hall to leave, and visiting with people, past coworkers started coming up to me saying that they had just read the journal. I received many words of encouragement and wishes of good luck. This left me completely pumped up and wishing I could start hiking now. It was a great visit. I now have a whole new group of people following my journal and cheering me on. When hiking the AT you can't have too many cheerleaders.",,View Entry,"Mar 01, Thu",0
Bampa,https://www.trailjournals.com//journal/entry/583843,"Back on Feb. 2nd I put out an entry about an alcohol stove that I was trying and might take on the hike. Well, after cooking 3 or 4 meals on it I can definitely say this stove will never see the AT. It took 15 - 30 minutes just to get the thing to put out flames from all the tiny holes. That is more messing around than I want after a long cold day of hiking. After listening to me whining about this for the umpteenth time, Mrs. Bampa got me a Pocketrocket 2 for my birthday. Wow what a difference, lights with the touch of a match and instantly puts out a blue flame to cook with. The fuel cartridge should be readably available on the AT. The only draw back I can see is the need to carry the empty fuel cartridge till I can toss my garbage. Looking forward to hot meals on cold nights at the start and end of this journey. Once out of the cold weather it will be sent home.",,View Entry,"Mar 09, Fri",0
Bampa,https://www.trailjournals.com//journal/entry/584607,"Supporting every thru hiker is a group of people back at home and along the trail. Team Bampa is my support network.
Pictured from left to right are Little Guy, Sarah Bear, Mrs. Bampa, Bampa, Bear and Bella Bear.
Little Guy is our grandson not quite 2 years old.
Sarah Bear is our daughter in law who we love as the daughter we never had.
Mrs. Bampa my wife of 44 years and who has been a major source of encouragement and support.
Bampa, myself, you have had enough to read about me already.
Bear our son who anchors this team in North Carolina.
Bella Bear our 6 year old granddaughter.
Back at home I have gotten many visits, words of encouragement and prayers from relatives, friends and neighbors. With this team supporting me and cheering me on, I don't see how I can fail. 
Another source of encouragement has come  from those who have signed my guest book. I do read all entries and appreciate the many words of encouragement. PS. The t-shirts in the picture were a gift for my birthday from Bear and Sarah Bear.  What you can't see on the back of the shirts is ""TEAM BAMPA"".",,View Entry,"Mar 21, Wed",0
Bampa,https://www.trailjournals.com//journal/entry/584832,"Yesterday Mrs. Bampa and I drove into Amicalola Falls State Park. Instead of going to our hotel we went straight to the park. Went through the visitor center, including the ever present gift shop. Attended a thru hiker orientation and got some good intel on trail conditions.
Today's activity was a day hike of the approach trail to Springer Mtn. 8.8 miles up and 8.8 miles down, CURRAHEE. This turned into a very long day, even met a colorful hiking character.Tonight Bear and his family will arrive. Team Bampa will be together again.",,View Entry,"Mar 23, Fri",0
