Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
JJ Don't Play,https://www.trailjournals.com//journal/entry/528991,"Well the day finally came.One thing I realized so for with this adventure is the unintentional reoccurrence of the #18. 2/18 I joined white blaze ( an AT forum) to start seriously considering this, 3/18 was my last day at work, and 4/18 is my start date. I stayed at the hiker hostel in Dahlonega GA the ivy before which was really nice they then brough all 18 of us to Springer MTN to get started. You actually have to back track 1 mile up Springer to get the the starting point at the top, effectively making my mileage 8.4 miles. I felt great and was rolling, got to hawk MTN campsite around 1:30, way too early and contemplated pushing on 7 more miles to another site. I probably spent 2 hrs trying to make up my mind then figured as fast as I went I'll feel it tmw so let's just stick to the plan. This campsite is brand new and has 30 tent sites I looked at all of them as I was the first to arrive and found one I like which just so happened to be tent site #18. Set up camp and made a meal, tossed my lighter to the side and it landed in my wash bucket and it would no longer light, luckily it dried out and still works. But I made sure to carry a spare now.","Springer Mtn
",Hawk Mtn Campground,"Apr 18, Mon",7.40
JJ Don't Play,https://www.trailjournals.com//journal/entry/528993,"Got up and was pretty sore as expected. Decided to start early and do a bigger day the am should at this point but it would set me up nicely for the next day which would be very tough with blood MTN and would make it easy for me to avoid having to camp in a bear canister only area. I don't carry a bear canister. I slugged on regretting the speed at which I hiked the day before. Finally making it to Lance creek around 5:30 to see it was packed. Tried to pitch on a slight incline but it didn't work my tent kept sliding when u would get in. So tired and slightly po'd I picked u everything and went in hoping to find another place. After a few hundred yards a guy eating by the trail stopped me and said there were no spots anywhere near but there was room for one more tent by him. I thanked him and gladly took him up on the offer. Shutterbug is his trail name, even saved me the trouble of hanging my bear bag and hung mine with his. I spent about 30 mins trying to find my tent stakes which ended up being right in front of me. Was a long day but thanks to some help from another hiker it was all good.","Hawk Mtn Campground
",Lance Creek Campground,"Apr 19, Tue",17.10
JJ Don't Play,https://www.trailjournals.com//journal/entry/530698,"Well this morning started off interesting. I was camped on an old logging road on the edge of of a ridge going into a deep deep bottom. As I was packing I accidentally kicked my sleeping bag sending it rolling down. I took off after if hoping the creek in the bottom was dry. The chase exhausted me and took me a good while to get back up but all I could do was laugh at myself. I got going and my knees started hurting a bit. Finally came to Blood MTN, the climb was easier than expected. I got to the top thinking I don't know why everyone talks so bad about blood MTN. I began to understand as I began my descent, my knees really started killing me. I hobbled into Neels Gap for a resupply and to get some better insoles since my feet were also killing me. I also went a lured and got a shower which helped to revive me some. Met 2 guys from Fort Polk, one who attempted a thru hike once before and gave me some good tips and encouragement. Also met David (later to be dubbed Townie by me) and spoke with a few other guys who were headed to Bull Gap for a short day after being whipped by Blood. Got to Bull Gap and met Sprinter, Zing, Encyclopedia, Townie, and a few others. Hung my first Bear Bag that night which was an interesting ordeal just trying to find the right tree (which has gotten much easier to do). We made a fire and went to bed pretty early.Side note it has been harder than expected to find the time/wifi/service/etc to update my journal on a day by day basis. It may end up just being general updates when in tow but for know I will try to divide it out day by day then enter then all from my hand written journal/memory to here ASAP.","Lance Creek Campground
",Bull Gap,"Apr 20, Wed",8.50
JJ Don't Play,https://www.trailjournals.com//journal/entry/530704,"I got up early and took off before everyone else at the campsite. Knees killing me but I figured I would just take it slow. I got passed by almost everyone from the campsite despite starting much earlier. In pain I was happy to see Trail Magic at one of the Gaps. I caught up with Encyclopedia, Zing, Townie, and Sprinter here. They went on and I stayed at the trail magic for a while taking advantage of the ice packs. I realized I had not been taking any Vitamin I (ibuprofen) so I took two and things got a little better. They wanted to slack pack me for the remaining hills for the day but I'm stubborn and thanked them for the offer and pushed on. I eventually rolled in to Low Gap where Encyclopedia and the rest were there and said there was one spot left in the shelter and I should take it with the weather coming. Well like many I came into the AT saying I would never stay in a shelter, but when it came down to it I really didn't care that it was obviously Mice infested. I like the idea of not having to deal with a wet tent. Zing successfully thru hiked before (when he was 9!) and gave us tips about not sleeping against the wall and leaving all pockets open. I had no issues with nice. Townie forgot a protein bar and had a few droppings on his book but that was it. We did have flying squirrels come in that night which was a cool experience. I didn't sleep too well with the older couple in the shelter both sawing logs all night.","Bull Gap
",Low Gap Shelter,"Apr 21, Thu",10.40
JJ Don't Play,https://www.trailjournals.com//journal/entry/530709,"I got my things together and left the shelter before everyone else. It was raining pretty good. I told Encyclopedia, Sprinter, Zing, and Townie I'd see then when they caught me in the next20 minutes. I started off slowly. After about 2 miles I actually began to feel really good. The rain kept me cool and I stayed dried and well ventilated wit my Precip jacket and homemade rain kilt. The Group never caught me, I trucked on through the rain and made it to my first projected stop and decided to keep going to TrayMountain Shelter. The Rain slacked and I set up in the Tent city. 30-45 minutes later the Gang rolled in Minus Townie who went into Helen for a burger. A father and son packed in mcdonalds burgers, apple pies, coke and Pepsi up to tray and handed them out then took all of our trash and headed back out for the most awesome trail magic I have experienced yet. They said they would see us in the smokies, I am looking forward to it! We all decided we would head to Top of Georgia Hostel the next day for a shower, bed, and clean clothes. Weather got nasty for a bit but the Lightheart Solong 6 held up great and kept me dry.","Low Gap Shelter
",Tray Mtn Shelter,"Apr 22, Fri",15.40
JJ Don't Play,https://www.trailjournals.com//journal/entry/530761,"Woke up before the crowd at Tray Mountain and Zing, Sprinter, Encyclopedia and I hit a very quick pace to get to Dicks Creek. Sprinter lead the pace, which is how she got her name. We arrived at Dicks creek for 12:45 just enough time for some trail magic hotdogs. The TOG shuttle arrived and we headed to the hostel. Cleaned up and headed into town for AYCE at Daniels, Zing, et al went to Mcdonald's so I ate with Charlie Montana who I had just met at the hostel. We headed across the street for beer tasting where we met up with 2 section hikers Chewpie and Mogley and then did a quick resupply.Unfortunately TOG Hostel is alcohol free so had to get our fill there. Told Charlie how I had kicked coffee and was just using electrolyte gels,etc for caffeine. Well the resupply had a Starbucks and I had a gift card so he made sure to rag me for getting coffee. TOG was decent, it was clean but the bed's did not lend a good nights rest. It was still nice to get a shower and clean clothes.","Tray Mtn Shelter
",Dicks Creek Gap,"Apr 23, Sat",11
JJ Don't Play,https://www.trailjournals.com//journal/entry/530762,"Woke up and got the ""free"" breakfast at TOG. It was pretty lacking but at least it was something, I finished off my resupply and jumped on the 8am shuttle back to the trail. We all decided to take it easy. Encyclopedia and I got to Muskrat around 3. The shelter was pretty rough but there were decent camp sites. Zing and Sprinter came in about and hour later and we setup up camp. Not long after Mogley and Chewpie came set up by us followed by Charlie Montana. We ate then walked up the trail .1 to play cards on a rock ledge and watch the sun set over Hiawasse. Ended up staying up pretty late chilling by the fire.","Dicks Creek Gap
",Muskrat Creek Shelter,"Apr 24, Sun",11.80
JJ Don't Play,https://www.trailjournals.com//journal/entry/530763,"Woke up to see Encyclopedia was gone. Sprinter and Zing mentioned sleeping in so I headed out solo around 8am. The night before we all talked about how tough the profile for standing Indian looked, it ended up not being as bad as expected. I pushed on to the planned Betty Creek Campsite to see it barely had any spots, was already basically full and Encyclopedia was not there. I waited some to see if Zing and Sprinter would show and then saw a guy from our TOG stay that said Encyclopedia pushed on to Long Branch, so I decided to follow.I got to Albert Mountain and that was fun to say the least, felt like I was climbing instead of hiking for a bit. The Fire tower gave some great views. I arrived at Long Branch around 6 to see Encyclopedia, Jolly Roger and Task Master (father daughter duo we had bumped into a few times). Joked about him trying to lose us. We all agreed it was probably nice to get ahead of the bubble that was at Muskrat so we can get some better rest. We were surprised but happy to see Zing and Sprinter roll in shortly after me.The Shelter was nice and only 3 years old but I decided to tent it as I find my tent way more comfortable.","Muskrat Creek Shelter
",Long Branch Shelter,"Apr 25, Mon",21.10
JJ Don't Play,https://www.trailjournals.com//journal/entry/530765,"We got up from the shelter and headed out with Jolly Roger and Taskmaster and a few others to catch the shuttle into Franklin for Beer at the Lazy Hiker. While waiting on the $3 county shuttle we got a free shuttle from the guys at the Budget Inn. They provide free shuttle in to town for hikers even if you aren't staying at the Budget Inn which is pretty awesome. I got a burger at ""A Fork in the Road"" food truck and we grabbed a well deserved beer at Lazy Hiker. We then hit a quick resupply and headed back to the trail for 4 mile hike to Siler's Bald were Zing and Sprinter already were due to not wanting to go into town.It's a 1/2 mile hilly Blue blaze to Siler's Bald Shelter. Upon arriving I met Jem getting water who greeted me with ""Welcome tot he AT's Practical Joke"". She was spot on. The blue blaze sucked, I definitely wasn't staying in the shelter and the only tenting was a sloped field. I me Booby Trap who gave me tips on shimming my pad so I wouldn't slip all night. This worked out decently.","Long Branch Shelter
",Siler Bald Shelter,"Apr 26, Tue",11.50
JJ Don't Play,https://www.trailjournals.com//journal/entry/530766,"We headed out to Cold Spring. Jolly Roger and Task Master left early but got lost on the blue blaze and met up with me on the way out.We all had lunch at the observation tower at Wayah Bald . I got a Text from David (Townie) that I had pocket dialed him and I should be called ""Pack Dial"" I said that's fine as long as he is Townie since he was in Franklin and had now stopped in at just about every town he could.We got to cold spring and the water lived up to the name. There was a nice campground up a .1 blue blaze. Got a little rain but overall got some good rest which was really needed.","Siler Bald Shelter
",Cold Spring Shelter,"Apr 27, Wed",11.60
