Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Papa Bear,https://www.trailjournals.com//journal/entry/516399,Starting my prep for the 2016 Thru Hike. I plan to start on Springer in Mid March time frame. I'm still open to doing a Flip Flop from Damascus though.,"
",Local,"Oct 27, Tue",0
Papa Bear,https://www.trailjournals.com//journal/entry/516440,"I attended the Oct 12-16 Warren Doyle ATI class in prep for my 2016 Thru Hike. Interesting class, lots of good details on the trail. We also hiked three different sections of the trail in the Damascus area.Still gathering my gear and reading others journals for advice.Looking forward to mid March to begin the hike.The adventure awaits!","Damascus
",Damascus,"Oct 28, Wed",0
Papa Bear,https://www.trailjournals.com//journal/entry/517710,"Working on gear selection and prep hikes near Cashier, NC.","Springer
",View Entry,"Nov 25, Wed",0
Papa Bear,https://www.trailjournals.com//journal/entry/521765,test entry,"Springer
",View Entry,"Feb 24, Wed",0
Papa Bear,https://www.trailjournals.com//journal/entry/523229,"Flying to Atlanta on 3/13, plan on starting on 3/18.","Springer
",Atlanta,"Mar 11, Fri",0
Papa Bear,https://www.trailjournals.com//journal/entry/523757,Starting tomorrow at Springer Mountain.,"Springer Mountain
",Springer Mountian,"Mar 16, Wed",0
Papa Bear,https://www.trailjournals.com//journal/entry/523908,Day one was good started at 10:45am. Tough getting used to the heavy pack. Hope to do about 12 miles on day 2,"Springer Mountain
",Horse Gap,"Mar 17, Thu",10.20
Papa Bear,https://www.trailjournals.com//journal/entry/523946,Good day hiking. A little warm but nice. Did 12 miles. Great views,"Horse Gap
",Dan Gap,"Mar 18, Fri",12.20
Papa Bear,https://www.trailjournals.com//journal/entry/524067,Good third day. Went about 12 miles today. Got a needed shower at Neels Gap and a pizza. Cooling off tonight expected to be in the thirties,"Dan Gap
",Baggs Creek Gap,"Mar 19, Sat",12.50
Papa Bear,https://www.trailjournals.com//journal/entry/524275,Day 4 was tough. Snow and sleet most of the afternoon. Made it to camp about 6:00 pm and was in bed by 6:30. It was cold windy and snowing most of the night. Very cold.,"Baggs Creek Gap
",Blue Mountain Shelter,"Mar 20, Sun",13.80
Papa Bear,https://www.trailjournals.com//journal/entry/524278,"Day 5. Short day. Got a ride into Helen, GA and got a room. Showered and ate   Will get a ride back to the trail in the morning","Blue Mountain Shelter
",Unicoi Gap,"Mar 21, Mon",2.20
Papa Bear,https://www.trailjournals.com//journal/entry/524584,Made up for the short day yesterday.,"Unicoi Gap
",Dicks Creek Gap ,"Mar 22, Tue",16.60
Papa Bear,https://www.trailjournals.com//journal/entry/524596,Made it into NC today. The best views so far.,"Dicks Creek Gap
",Muskrat Shelter,"Mar 23, Wed",11.80
Papa Bear,https://www.trailjournals.com//journal/entry/524740,Got an early start this morning to get my tent set up and settled in before 4 because of the storm coming in. It's raining now and will be a cold night.,"Muskrat Shelter
",Carter Gap,"Mar 24, Thu",12.50
Papa Bear,https://www.trailjournals.com//journal/entry/524902,Second longest day so far. Staying with my brother for easter and then heading back out.,"Carter Gap
",Winding Stair Gap,"Mar 25, Fri",15.90
