Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Vagabundo,https://www.trailjournals.com//journal/entry/606456,"I am so excited to get back on the AT, starting at Springer Mountain, GA, March 13, 2019.  My second attempt of a north bound thru-hike, injury took me off the trail in 2016.",,View Entry,"Jan 17, Thu",0
Vagabundo,https://www.trailjournals.com//journal/entry/606457,,,View Entry,"Jan 17, Thu",0
Vagabundo,https://www.trailjournals.com//journal/entry/606458,Enjoying a beer at a concert at Red Rocks Amphitheater in Colorado. Later in the trip I did a short day hike on the Continental Divide Trail.  I hope to be a Triple Crowner one day!,,View Entry,"Jan 17, Thu",0
Vagabundo,https://www.trailjournals.com//journal/entry/606522,"This weekend I will be heading South to warmer weather.  I will be on what I like to call, backpacking out of my pickup road trip.  I will live a nomadic life for the next 40 days or so.  I will hike daily to try to get in shape for my thru hike and will sleep in the back of my pickup. I will explore Florida mostly, however , I will also explore Alabama's, Mississippi's and Louisiana's coastlines as well. I will be posting comments and photos of my travels on this journal if you care to follow along!",,View Entry,"Jan 21, Mon",0
Vagabundo,https://www.trailjournals.com//journal/entry/606785,"I apologize for the lack of entries to my journal. I am retired , however, I had been working a rather demanding part time job, I had to rap things up to leave.  I also had to store all my possessions, I am not maintaining a residence while I m gone.  I departed for my road trip this past Monday January 28th and headed to Georgia.  My brother is playing golf in South Carolina the same week I am leaving Springer Mountain and has graciously agreed to drop me off at the Springer Mountain parking lot.  I wanted to make sure I could direct him there with no hiccups, it had been two years since I had been there and I had taken a shuttle. It took me a good part of the day when I arrived in the area to find my way up to the top of Springer, I found the directions a little tricky. So, mission accomplished, I now know the way! I met a hiker while I was on Springer , January 30th who was starting his thru hike the next day, if I remember correctly , his trail name is Green Feet.  I am currently in Florida at Silver Lake campground chilling in the back of my pickup, listening to the rain on the roof of my camper shell.",,View Entry,"Feb 02, Sat",0
Vagabundo,https://www.trailjournals.com//journal/entry/606990,"I continue my post trail adventure. I am car camping in the Everglades.  I have been driving so much touring Florida, I haven't been hiking. I have finally settled into a campground in the Everglades National Park for the week so I finally will get to do some hiking. I am loving this road trip but still can't wait for March 13 to start my 2200 mile saunter to Maine!",,View Entry,"Feb 12, Tue",0
Vagabundo,https://www.trailjournals.com//journal/entry/606991,"I drove down to the southernmost terminus of the Continental US.  I wanted a selfie at the marker, however there was a huge line of people ahead of me (on a Wednesday at 2:30 PM) so I settled for a drive by photo. The Florida keys were beautiful but I turned around and headed back to the Florida everglades. I feel most comfortable in the wilderness!",,View Entry,"Feb 12, Tue",0
Vagabundo,https://www.trailjournals.com//journal/entry/607030,"I am lying in the back of my pickup listening to the rain on the metal roof of my truck cap. It is raining like a cow peeing on a flat rock! I also have a tarp attached to the ladder rack so I can sit outside. I have been reading a book of quotes on an off all morning after I made coffee. All part of the grand adventure. I keep telling myself, all sunshine makes a desert.",,View Entry,"Feb 13, Wed",0
Vagabundo,https://www.trailjournals.com//journal/entry/607049,"I have spent a total of 7 days at Long Pine Key campground in The Everglades National Park. Tomorrow will be my last day , I am leaving Saturday morning heading to Melbourne FL to visit my oldest sons in-laws, I think, have not confirmed the visit yet. Regardless, heading north.  I went to town today, bought a few supplies, main reason for the trip to town was for ice, I may have to pull the trigger on an expensive cooler my next road trip, buying ice every couple days is getting old!",,View Entry,"Feb 14, Thu",0
Vagabundo,https://www.trailjournals.com//journal/entry/607220,"I am in Perry, Florida at a KOA campground washing clothes, I find living out of your vehicle is somewhat similar to thru hiking in that there are always little chores to do.  Chores at home you would think nothing of take some thought and planning when you are on the road or hiking.  I am always surprised how busy I am and how fast the day goes by when in reality, I am chilling at a campground.  The picture I posted is a wonderful local hole in the wall restaurant, I had todays special, slaw and chili burger with fries and a drink, $8 and some change. It was Devine! I locate these local eateries by googling restaurants near me and then look for this type of place.  It's a fun hobby. In 21days I will leave for Georgia and start at Springer the next day, then it's katahdin or bust!",,View Entry,"Feb 20, Wed",0
