Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Yardsale,https://www.trailjournals.com//journal/entry/581664,We did our 15 miles today although we were really slow. But the trail was very rocky. We met about 20 Thru hikers today and at the very end we had hoped to stay in a motel which was closed. But thankfully they left an igloo cooler full of water so we could fill up since there was no where to fill up. Sidewinder ( my hiking partner/daughter) started to not feel well the last couple miles so we took a break and chatted with some thru hikers and then trudged on to se up for camp. It was just about dark. We are now in our tent snuggling with our 2 dogs. We are hoping to do 15 more miles tomorrow ending in little gap. -Yardsale and Sidewinder.,"Delaware Water Gap 
",Wind Gap,"Jul 27, Wed",15.50
Yardsale,https://www.trailjournals.com//journal/entry/581677,This morning we saw 2 deer at our campsite. Pretty cool. Saw another 2 while hiking. Walked to Leroy A Smith shelter and had to walk a mile round trip to get water. We were out so we needed to do it. Well we were trucking right along and then we heard the Thunder. We kept walking in the rain for about an hour. Then we saw a campsite and decided to set up there. Although it was 2 miles short of where we were planning on going. We are bunkered down for the night.,"Wind Gap
",Little Gap Road,"Jul 28, Thu",13.90
Yardsale,https://www.trailjournals.com//journal/entry/581678,This day was the most exhausting day. We had three gaps to descend and climb. Happy to see trail magic consisting of soda and water. Made it to bake oven knob shelter. I think my dog summer was having some heat exhaustion. She got sick. But all is well today. Spend the night with a father and 16 year old son. A bunch of NOBO made it in before dark. Then at 4 am more came in who hiked at night. They all were enjoying the drinks at the Summit. Pretty good night at the shelter considering the rained.,"tent site before little gap road
",Bake Oven Knob,"Jul 29, Fri",14.20
Yardsale,https://www.trailjournals.com//journal/entry/581680,"Started out with not having packed enough food. Plans dont always turn out like they should and we should pack an error day just in case. We had planned to hit a restaurant the night before and fell short because of the rain. We managed by eating our snacks. We also knew we were going to hike 6 miles and eat at the Blue Mountain Summit. We concured Bear rocks and Knifes edge early on our hike today, then lunch at the Summit. We got there 20 min before they opened. Tied the dogs out back in the shade, and filled up on water. The dogs were so content just laying there. First thing we ordered was Water, Soda and an Alcoholic drink. They tasted so good. It was extremely humid toady. We also got the dogs burgers for their hard work. Then headed off toward the Allentown Shelter. As we got near, it started thundering and lightning. A bit worried but, that just turned to all rain. We walked the next 7 miles in the rain. In the beginning it wasnt bad, by the end we had enough. Our water proof boots were soaking wet. Thankfully we had my husband waiting for us as we walked off the trail. We came home showered, unpacked our wet gear, and ate a hot meal. Unfortunately we are going to have to leave my dog Summer home on the next leg of the trip. She was showing sings of fatigue and with further examination, her back toe nails have the flesh rubbing thru. She will stay home for some R&R.","Bake oven Road
",Eckville/Hawk mountian road,"Jul 30, Sat",17.40
Yardsale,https://www.trailjournals.com//journal/entry/581681,"We had a little late start leaving the house. Got to the trail @ 9:00. Started the hike to the Pinnacle. Normally it would take someone 3 hours to get there. We managed in 2:15. It was a steep hike up a nice grassy lane. We must be getting better. Enjoyed a snack and the view. Then peeked in at Pulpit rock for another view. We worked like mother truckers and put on the miles. We hit the switchbacks into Port Clinton. Going down and pretty intense. Our feet hurt so bad and I have like 5 blisters on one foot and 3 on the other from all the rocks. As I sit hear writing my feet are throbbing. Anyway, when you come off the trail it would be say to hike up route 61. That's what my daughter thought. Nope you need to go under bridge and go another half mile into town. On the way we hit a small stream flowing into river. It dealt so great to put our feet in it. Then we walk thru Port Clinton a guy gave us a ride to end of town. Another local offered us to use the spigot to get water. The we were so happy to meet up with my husband and friends for dinner at the hotel. It was amazing and so good. As we are hiking. We find that we are so hungry but when we try to eat we can only eat about half. Crazy. We were once again joined up with Kara's dog Rhone after the day of R&R. I am missing my dog Summer but she is better off at home at this point. But just to report she is doing a lot better today. So then back to the Pavillion to join 2 older hikers Brokeback and Pounds. 2 chatty souls. So unpacking to go to sleep I can not find my sleeping bag anywhere. Imy husband said I didn't leave it at home. The only other place I opened my pack was at a shelter to eat lunch. Hmmmmm. So in the morning I am off with a shuttle to buy a sleeping bag. My friend Dee offered to come. But I'll use my Frogg Toggs tonight as a cover. A thunder storm rolled in than god we were under the pavillion and at 12 a hiker rolled in.","Eckville
",Port Clinton,"Jul 31, Sun",15
Yardsale,https://www.trailjournals.com//journal/entry/581682,"Started with getting up a 6 am. My friend Dee picked us up and took us to breakfast at 3C's resturant. At this point it is kinda comical to watch us walk. We look like 2 little old ladies who can hardly walk. After about an hour it eases up. Dee was also nice enough to to take me to Walmart to buy another sleeping bag. It's not at home so it was either left at a shelter when we pulled out our lunch or it was stole at the pavilion when we went to dinner. Prolly at the shelter. We packed up and tended to our blisters. On our way out of town a car pulled up, they had trail magic for Paw Patrol. We were on the trail by 8:30. The trail travels this steep incline out if Port Clinton. The steepest we have done. It was tough. It definitely slowed our time today. We hiked all day with 2 breaks and 30-40 min lunch and also to re bandage our blisters. 2 more have reared their ugly head. I think from compensating for other blisters. Overall it was a good hiking day other than the rocks,gnats and blisters. We also met a lot of thru hikers who were headed to Maine. A funny story.... Our trail dog, Rhone aka Paw Patrol, has been teased by chipmunks all through our hike. Well one zipped out on the trail ran into her legs and made a u turn n ran back in the woods before Paw Patrol even knew what happened to her. Another is when she runs in the ferns after them, she looks like a lion with ferns all around her neck. Anyway We hiked to 183 be was greeted with trail magic. A cooler full of goodies freeze pops and lemon seltzer water. We also were happy to make it to camp before getting any rain. According to the weather it was going to rain at 1:30. While Kara started cooking I set up the tent. We then hung our bear bag(food) in a tree. It only took 2 attempts. Checked in at home and as I am writing this it is thundering like crazy. All I can say is hopefully we stay dry. Ill let ya know tomorrow. Oh ya and we smell pretty bad now.","Port Clinton
",Campsite near Route 183,"Aug 01, Mon",14.90
Yardsale,https://www.trailjournals.com//journal/entry/581683,Woke up early and dry. Imagine that. We had to pack up our wet tent and try to dry out later. We hit the trail and hike about 9 miles to 501 shelter. We passes a youth group of kids and when we told them that today we will have hiked 100 miles. They were amazed. We got to 501 shelter and met up with 2 guys that are brothers. One is just hiking a week with the brother. We all ordered Pizza and it was delivered to the parking lot near the shelter. We chilled for about 2 hours. Kara got a very cold shower from an over head hose. We then hiked 4 more miles to William Penn shelter which is a pretty big be has a loft. At this point 3 guys are already sleeping down stairs so Kara is taking the other area down stairs since she has the dog. I will sleep upstairs and another guy and one guy in a hammock. Kara had her 4th slip today on rocks. Thankfully she just slid and fell on her pack. Me on the other hand had a good fall early on the hike. The hiking poles went flying and I had a hard time getting up because of the pack. Hence my trail name is Yardsale. Time for bed or my mat and sleeping bag. The whole shelter is going to sleep at 8:45.,"Campsite near 501
",William Penn Shelter,"Aug 02, Tue",13.10
Yardsale,https://www.trailjournals.com//journal/entry/581684,"The day started pretty early as all the hikers got up and started eating breakfast. Our breakfast was leftovers that we had from the 501 shelter. Where Kara ordered pizza and I got a medium ham and cheese calzone. That means we actually got 3 meals out of that one order. Of course we had to pack it with us. 3 guys were headed NOBO and Dr. John and his brother Matt and ourselves were headed SOBO. They left before us. We had to hike another .3 miles to get water before we even started hiking. That doesn't sound like much but after 8 days of hiking and our feet killing us. We needed to have 2 liters knowing there's were creeks ahead. We hiked to the first overlook and had a snack. We are trying to have 2 snacks before lunch because we realize now that we are feeling so bad and stumbling and careless and it is because we are not consuming enough calories. When we try to eat we are starving but when we actually eat we can only eat half. The hikers say this is common in the beginning. We eventually hiked to Swatara gap. There was a really nice bridge and the river so we soaked our aching feet in the river while we ate out lunch consisting of a tortilla with peanut butter,honey, almonds and dried fruit. We planed on hiking to the next shelter and taking a break. We also heard from other hikers that Dr John and his brother were there. We had a really big climb up the mountain and halfway down the other side. We found an old cemetery that 3 people were buried there from 1845. The one was a native of England and died at Gold Mine Gap. Pretty interesting. As we got to the sign for the shelter it was another .3 miles to the shelter. We decided to rest there instead of walking back. Then came our 2 hiker friends. They were planning on hiking 2 more miles and setting up camp. We were as well. Eventually we hiked 2 miles and couldn't find a spot so we hiked another mile and eventually just found a place in the middle of the woods. It feels so good to rest our feet. Dinner was Alfredo noodles and chicken. We are up in the mountain above Fort Indian Town gap. I swear it sounds like they are practicing with machine guns. Well I can't check I. With anyone tonight. I have no cell service.","William Penn Shelter
",Campsite ,"Aug 03, Wed",16.50
Yardsale,https://www.trailjournals.com//journal/entry/581685,"We started hiking at 8:30 put in a good few miles. We made it to Yellow Springs Campsite which was an old abandoned village. There was a blue trail that lead to an old abandon mine shaft. We went off trail to see it. There was a mailbox for hikers to journal. We left a note for Dr John and his brother saying we were ahead of them. Eventually they met us when we took a rest. They had to harass us. Eventually we did catch up to them at another location. We had 2 miles to go. We all were struggling but we carried on. We passes a head trail master on the trail. He was asking us how the trail was Etc. We decended down a huge mountain. Only problem with that is, there is always a huge climb up the other side. As it was in this case. It was a struggle again today hiking. Just beside we are hiking SOBO doesn't mean it's down hill. It is a lot of up hill. I am sure the NOBO would disagree. Although our blisters are healing, it is still painful. Our heels are also killing is from all the pounding. We are now at Peters Mountain Shelter. It is a nice open double decker shelter with a privy and water 300 steps down. Everyone says it's a struggle to get water but we are going to have to do it. Dinner was rice and tuna. There are bear boxes hear so we don't have to hang out food. We are staying the night with 3 other hikers and Dr John and Matt. 7 all together. It's 8:00 and most are getting ready for bed. I am really missing my friends and especially my family, but I am really happy to share this experience with my daughter.","Campsite 
",Peters Mountain Shelter,"Aug 04, Thu",14.90
Yardsale,https://www.trailjournals.com//journal/entry/581687,"We decided we wanted to get up early so that we could get Dunncanon and enjoy a few hours in town. Our 2 friends had left an hour before us hoping to get breakfast before 11 in town. We hit the trail by 7:30. It was a brisk morning. But believe me, as soon as we started hiking we were sweating. The trail was pretty normal with a few rock crawls. At one point we hike up a pretty good hill and just before the trail came out to a road. There was soda and a sign that said ""Rocksylvania pit stop"". It tasted so good. We then crossed the parking lot and one the other side was a nice older couple handing out water and Ham and cheese sandwiches. We thanked them but had to pass since we just had breakfast shortly before. The decent in Duncannon was huge with a lot is switchbacks. It was intense and felt like we were never going to come off the mountain. We crossed the railroad tracks then the Susquehanna river by foot bridge. It was pretty neat. We the had the 3 mile walk thru Duncannon. We were stopped by some locals just chatting about our hike. As we walk down the street there is an ice cream shop we couldn't pass up. Even Rhone got ice cream. We took our boots off there since we had a long walk thru town. AsI bent over to pick up my hiking sticks the pack already on my back, my boot end up wacking me in the head. It looked like a comedy show. We then proceeded to the post office yo get our resupply box. After packing up all our food. My gosh out packs weigh a ton. We also sent home the things we didn't need anymore. While there several locals chatted with us and one even offered to drive us to the grocery store. We were good with our resupply. But people sure are nice. We then went to the famous Doyle Hotel know to hikers. When we are walking in we meet ""Tuna"" a SOBO hiker turns out he is the 3rd SOBO, Dr Jon and a women named Chainsaw is ahead. They are trying hard to catch her. We go inside and Dr Jon is chatting with ""Bag of Tricks"" a man who was a thru hiker 20 years ago and does Shuttle and volunteers a lot along the trail. Even all the way up where I live near Eckville. We sit with the crew and have drinks dinner and catch up on past and present hiking stories. It was a good time. Kara and I took advantage of the showers at the Doyle at. $10. A piece. But it was so worth it. We then hit the trail for another almost 4 miles to the trail leading to Cove Mountain Shelter. Our friends were there and said the shelter was full. They were taking a break then hiking on another 3 or so miles. We chilled with them and then took a picture since we probably won't see them any more. We then went to see what the camping was like at the shelter. There are about 5-6 people camping. We got all set up just before dark. Oh ya and the first thing that happens when we arrive is the boots come off and our camp shoes go on. I almost didn't bring any. I am so glad I did. Our blisters are almost healed thankfully. We also arrived on a trail name for Kara. It is Sidewinder. As always there is a story behind it.","Peters Mountain Shelter
",Cove Mountain Shelter,"Aug 05, Fri",15
