Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Bermyboy,https://www.trailjournals.com//journal/entry/607542,"For the past two weeks I have been hiking almost daily with my full pack at the Broad River Greenway here in NC...this is fairly near my house.
I have only been doing a short 4 mile trek each day but the hills and slick mud trails feel very comfortable so far to the feet, back and body. 
I also have been at the YMCA four mornings per week exercising on stair master/elliptical/treadmills and weights and attending either weight/power training classes or PIYO classes for the past six months.
This has helped my strength tremendously as I under went back surgery in 2017 and it has been a steady but lengthy recovery.
Next week, weather permitting, I will be doing a hike with my son in the Pisgah National Forest near Brevard NC. We intend to hike and fish along wild trout streams for two days and nights.
We have already completed a similar hike last September and all went very well...this is partly what propelled me forward into making the final commitment to start the AT this year.
These two days of hiking next week will act as a final shake down hike for my expected start on the AT by or near March 28th.
As I am only section hiking through the month of April, I only intend to complete 200 miles from Springer Mountain GA to Newfound Gap on US 441 outside Cherokee NC.",,View Entry,"Mar 03, Sun",0
Bermyboy,https://www.trailjournals.com//journal/entry/607579,"Hiked Five miles today at the Broad River Greenway.
Weather was in the high 40’s and all felt very good.",,Broad River Greenway ,"Mar 04, Mon",0
Bermyboy,https://www.trailjournals.com//journal/entry/607660,"Went hiking for four miles today with my daughter.
It was 30 degrees and beautifully sunny on the trail. The hike went well and it was great to bundle up to start with.
We met four ladies horseback riding on the trail and had a chat. One of the ladies is an AT tail maintainer. She said her team had completely rebuilt a privy on the trail but couldn’t remember the location.
I had seen her once before and if I meet her again I will get her contact info and maybe join her team in the future to help on a project somewhere on the AT.",,Sandyrun creek trail,"Mar 06, Wed",0
Bermyboy,https://www.trailjournals.com//journal/entry/607783,"Hiked this afternoon in hard rain and cool weather. Temperature was 42 degrees when I started. 
It was very muddy from all the rain and horses walking through the boggy areas near the river and the valleys.
Used just my Frogg Toggs poncho today...no rain suit to see how dry I would be. The bottom of my pants were the only thing wet to be honest.
I was wearing my neoprene socks so my feet stayed nice and dry even though the boots were soaked through and very muddy.
Body is feeling great on these shorter walks of about 5 miles. 
Rain is forecast for tomorrow but I plan to set out again into the mud pits...
I have moved my start date at Springer Mt. to March 28th as I will be able to get to Dahlonega by the 27th.",,College Farm Road Horse Trails,"Mar 08, Fri",0
Bermyboy,https://www.trailjournals.com//journal/entry/607809,Donna and I hiked out to the Broad River campground using the    North mountain route up and out then returning along the riverside to the car park. This was a six mile hike on a cold rainy morning... just what I needed to get ready for the AT! ?,,Out and back hike,"Mar 09, Sat",0
Bermyboy,https://www.trailjournals.com//journal/entry/607810,This is the privy at the Broad River Campsite where my wife and I hiked today... no we didn’t try it out!!,,Broad River campsite,"Mar 09, Sat",0
Bermyboy,https://www.trailjournals.com//journal/entry/608093,My son AJ and I hiked for two days and nights in the Pisgah Forest along the South Mills River.It was absolutely beautiful along the river and we often stopped to fish for trout.The first evening got to 32 degrees and we had ice on our tarps in the morning... brr it was cold!When we got up we restarted the fire then went jogging in our boots along the trail to get warm before cooking breakfast.We did 8 miles each day and carrying the backpack at 35 pounds went surprisingly fine for an old guy like myself.Two more weeks before staring the AT section hike...on March 28th.,"
",South Mills River,"Mar 14, Thu",0
Bermyboy,https://www.trailjournals.com//journal/entry/608095,Here I am with my backpack crossing one of the many suspension bridges along the South Mills River. We hiked about 8 miles this day.,,View Entry,"Mar 14, Thu",0
Bermyboy,https://www.trailjournals.com//journal/entry/608096,Here is our campsite along side the South Mills River in the Pisgah Forest,,View Entry,"Mar 14, Thu",0
Bermyboy,https://www.trailjournals.com//journal/entry/608576,"Hiked this area yesterday and today.
This is very flat land through the swamp... not what I’ll be expecting next week on the AT.
It was very cold at 40 degrees each morning which is surprisingly cool for Savannah this time of year.
I did 7 miles yesterday and again today which was great for my stamina going into next week on the trail.","
",View Entry,"Mar 21, Thu",0
Bermyboy,https://www.trailjournals.com//journal/entry/608577,Here is another shot  of the area I have been hiking in this week.Lots of swamps with amazing cypress trees but never saw any gators...,"
",View Entry,"Mar 21, Thu",0
Bermyboy,https://www.trailjournals.com//journal/entry/608848,"Hiked this morning at the Broadriver Greenway in very nice conditions of about 50 degrees.This is my last hike before starting the Appalachian Trail on Thursday.Sue, my mother in law, Donna and I are driving to Dahlonega Georgia on Wednesday then on to the Springer Mountain parking lot off of the forest service road 28-1. This will involve a trek along a dirt road in the mountains for many miles to arrive at the secluded trail head parking area.Donna and I will then hike a mile south to the southern terminus of the AT to sign the log book and take photos before hiking back to the car.Then we will drive back to Dahlonega to stay the night in a hotel. We will leave early on Thursday morning traveling back to the Springer Mtn parking lot and say our goodbyes as I then head out on the AT officially on my own.Please take the time to visit my guest book to let me know you are keeping an eye on my daily progress. It is at the bottom left of the web page.Thanks and I’ll see you all soon...",,View Entry,"Mar 25, Mon",0
Bermyboy,https://www.trailjournals.com//journal/entry/608980,We drove up to Dahlonega today and ate some Chik-Fil-A for lunch.Then we drove on up to Springer Mountain parking lot.Donna and I hiked up to the top of Springer Mountain where I signed the log book and took the first photos on the AT.Beautiful sunny Carolina day and it was 40 degrees as we hiked...awesome weather to see all the beginning of such a trail.We saw several hikers along the trail either going or coming to the top of Springer Mountain. We met and talked to Emmy who is starting on her own.. a very confident young lady.We drove for 40 minutes on the dirt road to get to the parking lot and it was beautiful.Tomorrow morning we will return and I will be off towards Hawk Mtn some 8 miles away...?,"Springer Mountain parking lot
",Donna and hiked up to Springer Mt from the parking lot,"Mar 27, Wed",1
Bermyboy,https://www.trailjournals.com//journal/entry/609165,"Drove up to Springer Mountain parking lot early and started out just after 8 am.
A beautiful cold clear morning and I hiked to Stover Creek Shelter where people were just rising and getting ready to start out.
Then I headed up the trail towards Hawk Mountain shelter all alone and adrenaline kicking in overtime. Climbed up to 3220 feet to get there.
Ate an early lunch after arriving and a few other hikers showed up.
Got to meet James and his son who are section hiking and saw them every day thereafter at camp sites.
Had some trail magic by Cooper Gap after Sassafras Mountain. Ladies  trail name was “ankle weights”.
She had hot dogs drinks and honey buns for all hikers passing by. I only had a few snickers bars as it was in the afternoon and I wanted to cook my own dinner at camp.
I then climbed up Justus Mountain on toward a Creek site where I set up my hammock and cooked dinner. I really walked way too far but like I said the adrenaline was pumping.... but I learned my lesson and decided not to do that  too many more times.
Having trouble posting photos but I will get them up eventually... sorry","Springer Mountain Parking lot
",Justus Creek,"Mar 28, Thu",13.30
Bermyboy,https://www.trailjournals.com//journal/entry/609172,"Hiked from Justus Creek to Lance Creek today which was 9.6 miles.
Great panoramic views as I hiked along Ramrock Mountain at 3200 feet.
I ate lunch at Woody Gap GA 60 crossing where there a pit toilets and then hiked up Big Cedar Mountain where Preacher Rock is located. Beautiful view from here but it was a hazy view today.
This crossing road of GA 60 leads to the nearby town of Suches GA.
Lance Creek was beautiful but became very crowded with hikers and I didn’t get a good sleep as they partied long into the night.
There these three guys from Minnesota who are carrying 12 foot spears... they are crazies ?
I’m going to stay clear of them from now on before I hurt someone ha ha?","Justus Creek
",Lance Creek,"Mar 29, Fri",9.60
Bermyboy,https://www.trailjournals.com//journal/entry/609177,"Hiked from Lance Creek to Neel Gap which was 7.2 miles that felt like at least 15 miles.
Started out at just before 6am using my head lamp to guide me over three mountains before I got to the main climb which was Blood Mountain at 4457 feet ?
This a restricted area for camping as you must use a hard shell bear canister to store your food in and I don’t have one so move along quickly ha ha. I did hear a pack of Coyotes in the dark at about 6:30am but they never came close to me ...thank you Lord. Several other hikers actually left before me although I only caught one up after daylight on the second mountain climb.
This was a rediculous climb up and down Blood and I’m surprised more people don’t get hurt on the crazy rocks going down. It’s not a path but a free fall scramble trying to balance yourself with that backpack.
My feet just ache and when I walk without my backpack I feel like I’m drunk on the moon!! Honestly.
Because I did more miles than I should I am going to hold up here in the Blood Mountain cabins for two nights... then hit the trail on Monday morning. 
Don’t think I can keep up these high mileage days anymore... so I will reset and stay to shorter distances than what was originally planned.
Adrenaline has gone and my age and weak back are showing up... but no injuries thus far thanks be to the Lord with his watching over me and providing safety always ?","Lance Creek
",Neel Gap,"Mar 30, Sat",7.20
