Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
marshmellow,https://www.trailjournals.com//journal/entry/524177,"It was a beautiful day today, 76 degrees, sunny. Ihiked in shorts and t shirt. My pack on my bathroom scale weighed 40 pounds. On the hostel scale it weighed 46 pounds yikes. I had my first problem at dinner. I use a jetboil stove, with a very intense, laser like flame. One should ONLY use the Jetboil pot, but I didn't know this, so I put a big pan on the stove, which diffused the flame, melting the plastic band surrounding the stove, with the result that the stove no longer fit inside the Jetboil pan. I solved the problem by using my Bic lighter as a blowtorch, re-melting the plastic and scraping it away with my pocket knife until it fit properly back into the pot. I have never been a repair guy, so I got a lot of satisfaction from doing my own repair. It was all for nothing, as a few days later, I sent my Jetboil home in favor of an alcohol stove.","Springer Mt.
",Hawk Mt. Shelter,"Mar 15, Tue",8.10
marshmellow,https://www.trailjournals.com//journal/entry/524181,"In the year 2000, I was part of a group of 250 people who did a one year around the world bicycle tour. Every nite, a different caterer (We cycled about 80 miles per day, and every nite we were in a new place) made dinner for 250 people. It was a HUGE task, so every nit we gave the caterer a standing ovation. Well, old habits die hard, so when I finished cooking dinner for myself on nite 2, I rose to my feet and gave myself a thunderous standing ovation. I pulled out all the stops, too. I screamed, I clapped, I whistled, I stamped my feet, then I finished it off by bellowing at the top of my lungs, ""Bill, that was the GREATEST meal I have ever eaten!"" Well, everyone else in camp was giving me VERY strange looks, and nobody would speak to me, and a few people even went so far as to take down their tent and moved their tents as far away from me as possible. Well, I learned my lesson, and the next night, at the conclusion of my dinner, I uttered not a single word of praise on my own behalf, and it sure did the trick. My camp mates were once again very friendly & cordial to me, but I went to bed feeling very hurt and resentful, because I worked very hard to prepare myself a good meal, and I received not even a single word of thanks for it. I tried to keep an open mind, but I couldn't help but think that I was just a selfish uncaring cad. The moral of this story is that everything on the Appalachinn Trail (AT) is a tradeoff.","Hawk Mt. Shelter
","Gooch Mt. shelter,Lance Creek","Mar 16, Wed",7.80
marshmellow,https://www.trailjournals.com//journal/entry/524192,"One of my favorite week long bike trips is the annual Bike Ride Across Georgia (BRAG) Several hundred cyclists ride about 500 miles in a week. Every 25 miles, there is a rest stop, where cyclists can refill their water bottles and get tasty snacks. I was walking towards one rest stop. Directly in front of me was a newly married couple, cuddling with each other as they walked towards the refreshments. The young lady was EXTREMELY attractive. She stopped cuddling with her husband briefly. I was right next to her, thinking of all the good food I was about to eat. Life was VERY good. Suddenly, with no warning, the attractive young lady threw her arm around me, drew herself to me, and began snuggling. Life went from very good to heavenly. After a second or two, she screamed, pushed me away, and shouted ""You're not my husband."" Her husband and several hundred cyclists were giving me VERY angry looks. Life very quickly (in just a few seconds time) went from nearly heavenly to nearly hellish. Then the young lady began to apologize profusely to me, saying she was very sorry to have mistaken me for her husband, and I was off the hook. Life on the Appalachian Trail is very intense, and I have gone from ""all is well"" to ""uh-oh"" very quickly on 2 occasions. Both times I thought I lost an important piece of equiptment, when in fact I had not. Once I thought I lost my eating utensils, and once I thought I lost a piece of equiptment that I needed to pitch my tent","Gooch Mt. shelter,Lance Creek
",Neels Gap,"Mar 17, Thu",0
marshmellow,https://www.trailjournals.com//journal/entry/524262,"I get my drinking water from streams. I have a Sawyer filter. I fill a plastic bag (with a screw top that my Sawyer filter attaches to) with water. Then I attach the Sawyer filter to the plastic bag. squeeze the water from the plastic bag thru the filter, and the water is ready to drink. The water is crystal clear, and delicious. Several years ago, while hiking thru the Colca Canyon in Peru, I had a very bad experience with drinking water from the Colca River (it tasted delicious, but the results were disasterous) I had water purification tablets with me that I used. What I didn't know was that those purification tablets work well in North America, but I guess the germs are different in South America because the pills didn't kill the germs in the water, and I became the proud owner of a raging case of amoebic dysentery. I asked my family doctor why my pills didn't work. His answer was, ""Bill, you bought those pills here in the US, where the primary language is English, but you used them in South America, where the germs are all Spanish speaking. So the germs probably did not understand that your pills were supposed to have killed them."" Shortly afterwords, I began to search for a new doctor.","Neels Gap
",Low Gap Shelter,"Mar 18, Fri",11.50
marshmellow,https://www.trailjournals.com//journal/entry/524264,"On the AT, there is a term called Trail Magic. Trail Magic occurs when people (mostly people who have hiked the AT in the past) meet hikers on the AT (usually where the AT crosses a road) and surprises them with free food/beverages. My first Trail Magic (TM) experience happened on St. Patricks Day. There was a big group of exhikers camping out who were fans of the rock band called the Grateful Dead. At 10:00 Am, these guys were already plastered, (their motto was, if you're going to drink all day long, you have to get an early start) and listening to Grateful Dead songs. They offered all thru hikers hard boiled eggs and sodas. Later that day, an ex hiker offered hikers free hot dogs, chips, and some of the best brownies I have ever had. Immediately after gorging myself, I had a HUGE mountain to climb. My next TM encounter was with an extremely attractive young lady who offered me a Coors beer. My last TM encounter was when I was staying at the hiker hostel at Neels Gap. A local Baptist church brought in a free pulled pork dinner, complete with cole slaw, baked beans, chips, iced tea, and chocolate cake. TM really lifts my spirits.","Low Gap Shelter
",Unicoi Gap/ Top of Georgia Hiker Hostel,"Mar 19, Sat",9.70
marshmellow,https://www.trailjournals.com//journal/entry/524267,"On the At you have 3 sleeping options. The first option is to sleep in your tent. The problem with this is that it is sometimes hard to find a level place to pitch your tent. The second option is to sleep in the shelters along the AT. The problem with this is 1) the shelters sleep only a small number of people. 2) The shelters have only 3 walls (of either wood or stone,) so they are very cold and drafty. 3)the shelters are overridden with lots of mice, which run all over you at nite 4) the shelter sleeping area is just a floor, so you sleep literally next to another person, who may snore loudly, and you have no privacy. I VASTLY prefer my tent to a shelter. Tents are also warmer than shelters, which is important. Last nite it was so cold that it snowed. The third option is to sleep in a hiker hostel or a hotel. hiker hostels/hotels happen infrequently, only when the At crosses a road near a town I plan to use this option whenever it presents itself, as I can avail myself of a badly neede shower, wash my clothes, visit with other hikers, and spend a night out of the cold, and go to a store to buy more food.","Unicoi Gap/ Top of Georgia Hiker Hostel
",Rest Day,"Mar 20, Sun",0
marshmellow,https://www.trailjournals.com//journal/entry/524268,"My deffinition of luxury has changed since I began this trip. I used to regard an outhouse/privy as a very smelly, disgusting edifice, to be used only in an extreme emergency. On the AT, I have 2 bathroom options. 1) use an outhouse (that is located only where there is a shelter.) This is the luxury option. 2) Have you heard the expression ""Does a bear sh#t in the woods?"" Well, guess what. When a hiker is in the woods for an extende period of time. he/she is also going to need to use the bathroom, and if a luxury privy is not available, the poor hiker is going to drop his backpack, fish out his/her garden trowel, dig a hole 8 inches deep, and take care of business. Yes siree Bob, an outhouse is a luxury. Everyone has a secret fear of what is the worst thing that can happen on the AT. My worst nightmare is to be walking along during a driving rain storm and have an urgent need to use the bathroom. Toilet paper turns into a soggy mess in a driving rainstorm very quickly (sigh)","Rest Day
",Rest Day,"Mar 21, Mon",0
marshmellow,https://www.trailjournals.com//journal/entry/524556,"Bears can be a concern on the AT. There are 2 common kinds of bears in the US 1)grizzly bears, that are very big & very dangerous. There are no grizzly bears on the AT 2) black bears These bears are generally harmless if people have not been stupid and fed the bears, causing the bears to lose their natural fear of humans and become aggressive & dangerous to people. Tourists who think they are being kind to bears by feeding them are actually condemning these bears to death, as bears who have lost their fear of people become aggressive, dangerous, and have to be destroyed. The only other time a black bear will be aggressive towards people is if a person is foolish enough to be close to bear cubs. Then mama turns into a raging maniac. On day 3 of my hike, the shelter I wanted to stay at was closed, due to aggressive bears in the past. Only hikers who carried a big, bulky bear cannister with them were allowed to camp at this shelter. I talked to people who stayed at nite at this shelter, and they said they did not see any bears. I walked thru this 6 mile stretch of bear danger territory and saw no evidence of bears. Every nite, all hikers put all of their food into containers and hoist those containers 20 feet in the air via ""bear cables"" that are installed at shelters. If ""bear cables"" are not provided, I have to find a tree and hoist my food bag up. I want to protect my food from being eaten by bears, racoons, or mice","Unicoi Gap/ Top of Georgia Hiker Hostel
",Deep Gap Shelter,"Mar 22, Tue",13.10
marshmellow,https://www.trailjournals.com//journal/entry/524559,"I have decided that since hiker hostels are infrequent and luxurious, I will utilize them every chance I get. I had the chance to use the Top of Georgia hiker hostel at 2 locations Unicoi Gap, and Dicks Creek Gap. Did anyone see a movie about the AT that came out a few months ago starring Robert Redford/Nick Nolte called ""A Walk in the Woods?"" They show these guys hiking across some very level, easy hiking terrain. Although there are stretches of the trail that are flat and easy, they are relatively rare. The AT is infamous for 3 things: rocks, roots, and ruts. You hike 2200 miles thru the woods. Some people think this hike involves wonderful scenery that a hiker enjoys as he/she strolls along the trail. The reality is a bit different. Yes, there is spectacular scenery, but due to the CONSTANT rocks/roots/ruts, a person who attempts to take in the sights while walking is going to be flat on his/her back very quickly due to tripping over a rock/root/rut. If I want to enjoy the scenery, I have to come to a complete stop from walking to enjoy the view. There are very few level stretches on the AT. One of the acronyms used on the AT is PUDS. It stands for ""Pointless Ups & Downs."" The other day, I descended 700 very sttep feet to a road. Once I got to the road, I immediately struggled with an equally steep 400 foot climb. Contrary to popular belief, it is MUCH harder to go downhill than uphill (although neither direction is a whole lot of fun). Going downhill is MURDER on your knees, plus there is a far greater chance of falling while going downhill as opposed to falling while going uphill.","Deep Gap Shelter
",Top of Georgia Hiker Hostel,"Mar 23, Wed",3.60
marshmellow,https://www.trailjournals.com//journal/entry/525034,"On March 11, the evening before my wife (Ginny)and I left Miami to travel to the AT starting point, the two of us went to see Frank Sinatra Jr. (with a full orchestra backing him up)do a tribute concert , singing his dad's signature songs. Junior not only sang his father's songs, he told the story of his father's career. My wife and I sat in the nosebleed section, and it still cost an arm and a leg. The concert was GREAT, junior sounded just like his old man.It was one of the few concerts I've been to where there was no encore. (Perhaps Junior was not feeling well.) A week later, while talking to my wife on the phone, after the start of my hike, Ginny informed me that Frank Sinatra Jr. had suffered a massive fatal heart attack just 5 days after we saw him in concert. I've been giving that startling news a great deal of thought.If just a few more music legends cash in their chips a few days after Ginny & I see their concerts, Ginny and I could be getting paid a GREAT deal of money from the stars to AVOID their gigs. Hmmmm.It's just a thought.","Top of Georgia Hiker Hostel
",Muskrat CreekShelter,"Mar 24, Thu",11.80
