Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Crusoefire,https://www.trailjournals.com//journal/entry/443291,"I have become obsessed with the AT, ok... maybe a bit melodramatic, but I have thought about it constantly lately and I'm not even starting this year! I already envy the people I see posted with start dates coming up, not sure I envy some that just started with the weather the way it has been.I spend countless hours researching equipment, and journals of people that have completed it, each one to a ""T"" says its an adventure of a lifetime. The hard days and down days seem to melt away with the Katahdin sign in front of them...I know the statistics, only about 30% of NoBo's complete it, less for the SoBo's.I am compiling gear, planning on doing a 30 mile VA section this spring as a dry run and can't wait to put boots on the ground!Hail to the Trail for all of you adventurers starting this year!","
",Springer Mt,"Feb 27, Thu",0
Crusoefire,https://www.trailjournals.com//journal/entry/443309,"I also plan on hammock camping, don't know why I slept on the ground all these years, I need to find some with AT hammock experience specifically.","Springer Mt
",Maine,"Feb 28, Fri",0
Crusoefire,https://www.trailjournals.com//journal/entry/443310,"I am so glad to have found this site and the chance to see the people I will meet on the trail! I totally understand the anticipation expressed by so many on here, everyone has a story, you just have to open yourself to hearing it and using it to expand your own outlook. Too much introspection this early in the process huh? Lol!","Maine
",springer Mt,"Feb 28, Fri",0
Crusoefire,https://www.trailjournals.com//journal/entry/443465,"I read e book by ""walking upright"" a young man from England that walked AT thru Virginia about 3 years ago, he started as ""green"" as could be, and it was a bit slow here and there but the last bit about a midget wrestler he met in Southern Va was damn funny! The AT taught him a thing or two and I think he might have a grown up a bit in that short time, good job overall!","springer Mt
",View Entry,"Mar 01, Sat",0
Crusoefire,https://www.trailjournals.com//journal/entry/443594,https://www.facebook.com/photo.php?v=600953526647674Lot of sports images but apply the message to your decision to hike the AT... Great video!,"
",View Entry,"Mar 02, Sun",0
Crusoefire,https://www.trailjournals.com//journal/entry/443836,"I've been researching gear and the prices for some of this stuff, now I know ""you get what you pay for"" but.... I'm looking at the grand trunk skeeter beeter hammock I have that costs around $75 and then looking at a Hennesey, hmmm. Even if I had to replace the GT 3 times on the trail (doubtful)I still come out to the plus side on my wallet. No disrespect to the Hennesey people. (not sure i have spelling right on name)So it makes me wonder where else can I save? I've found a review on a ultralight stove burner vs a pocket rocket see here: http://m.youtube.com/watch?v=IRgxRENrmV4The POcket rocket is $40 the ultralight is $6 ...again, I can buy 6 of them, I wonder has anyone else encountered other equipment usable on the AT that is a better buy? I won't be worried about budget when I take off but I also don't want to spend like an idiot just because that's what everyone purchases, weight is a consideration no doubt about it, and foot wear, NO SKIMPING on that!I plan on starting my gear list soon and i plan on on making sure to list what i paid for every item, because I constantly look thru others list and they seem to leave that out on several items. I want to make the gear list a valuable tool to the next hiker doing his research. If its in the pack its getting a price listed right down to the toilet paper!","Springer Mt
",maine,"Mar 06, Thu",0
Crusoefire,https://www.trailjournals.com//journal/entry/443842,"I've been researching gear and the prices for some of this stuff, now I know ""you get what you pay for"" but.... I'm looking at the grand trunk skeeter beeter hammock I have that costs around $75 and then looking at a Hennesey, hmmm. Even if I had to replace the GT 3 times on the trail (doubtful)I still come out to the plus side on my wallet. No disrespect to the Hennesey people. (not sure i have spelling right on name)So it makes me wonder where else can I save? I've found a review on a ultralight stove burner vs a pocket rocket see here: http://m.youtube.com/watch?v=IRgxRENrmV4The POcket rocket is $40 the ultralight is $6 ...again, I can buy 6 of them, I wonder has anyone else encountered other equipment usable on the AT that is a better buy? I won't be worried about budget when I take off but I also don't want to spend like an idiot just because that's what everyone purchases, weight is a consideration no doubt about it, and foot wear, NO SKIMPING on that!I plan on starting my gear list soon and i plan on on making sure to list what i paid for every item, because I constantly look thru others list and they seem to leave that out on several items. I want to make the gear list a valuable tool to the next hiker doing his research. If its in the pack its getting a price listed right down to the toilet paper!",,gear thoughts,"Mar 06, Thu",0
Crusoefire,https://www.trailjournals.com//journal/entry/446617,"So, .... I am reading '14 ers journals on a daily basis. From the time I have morning coffee till right before I go to bed. Not the entire time mind you, but I grab a few during lunch also. 
I find each post seems to have a nugget, or something to glean. Maybe not every post but lets be positive right?
I am very excited about 2015 and have to remind myself not to look past 2014 and the camping memories I will make with my family this year, I have countless hours logged in research of gear, and bet practices. I know I'm not telling you other 15 ers anything you aren't experiencing, so this is for family and friends that may be reading later.
I am contemplating carrying a lite tent as well as my hammock, anyone else out there done this or considered it? If so let me know results or what you think!
Crusoe",,View Entry,"Mar 27, Thu",0
Crusoefire,https://www.trailjournals.com//journal/entry/454240,"Haven't posted in a while, preparing for this hike in June, the wife will be coming with me,she's excited, I also am getting ready to do a major shopping trip to acquire gear. Fun fun.. Haven't let up on the journals but I'm collecting too much info, not sure i can collate it into usable form.I wish I could do the Ohio outing with the 15 ers but taking the family camping in Ky.Looking to meet some of you guys hopefully and love hearing from you.Crusoe","virginia
",timker cliffs va,"May 07, Wed",15
Crusoefire,https://www.trailjournals.com//journal/entry/456638,"Wow! What a great weekend,I wish I would've got down there on Thursday or Friday. Nice cool weather, tons of hikers.I went primarily to check out equipment vendors for supply's for 2015, got plenty of stuff.Need to do an equipment update...Baltoro 65 pack, $220 that's a hundred dollars off. ( might wish I had got the 75)J53 pack for the wife (120 off of that price)Hennessy Jungle hammock XL $150. That's half off,Then I joined the AT Conservancy Group and won a drawing for the Hennessy Ultralight Asym hammock, that's a retail of $299!! Guess my wife will claim that one.Picked up a vector camp stove, cups, etc, a bunch of snakeskins with those hammocks and some hanging gear. I will post it all on equipment page as promised.  Will be using this stuff on a section hike in a couple of weeks, I think I have decided on a gravity filter system, talked to some guys hiking now in Damascus and the thought of filling up and hanging the bag as I set up the rest of my stuff is appealing. No pumping, no squeezing, I will have a backup of tablets or drops also.","
",Damascus,"May 16, Fri",0
Crusoefire,https://www.trailjournals.com//journal/entry/459778,"Headed out this weekend for a small section hike in va. Got a pack @ 18lbs, sans water so not too bad, hoping all of this rain clears by Friday.","Damascus
",virginia,"May 17, Sat",0
Crusoefire,https://www.trailjournals.com//journal/entry/476067,"Well, summers passed, I've been very busy cleaning prepping and staining my log home, made it to va for a 25 mile hike. Tinker cliffs ended up being a killer we ran out of water too soon and left mcafee knob late in afternoon which put us behind getting to 2nd shelter. Learned many,many things about my pack. I rearranged the load on mcafee and paid the price... it was riding too low on my hips, and made my stride shorter. Slower harder...( I don't know why I didn't stop and repackage it duh..) I also chatted with our shuttler, he thinks thru hikers miss a lot on the trail because its about the miles, and food and water... He said Section hikers get to enjoy it more, might be something there. I still plan on hitting AT next year and have talked to a couple of people about doing at least Springer to Damascus, in time for trail days...I will contemplate over the winter, hard to leave my young sons for an entire season, I would like to hook up with a group, sorry I missed the August hike with some of you guys. Gearing up to renew my enthusiasm for the start, Happy hiking!","
",View Entry,"Oct 07, Tue",0
Crusoefire,https://www.trailjournals.com//journal/entry/477703,"Oh my, October flew by, finished staining my log house. Got one hike with a 18 lb pack in this week... About 6 or 7 miles. I'm going to try a cold overnight in November in the WV mts. See how cold weather gear does.I may have chance to go to Maya Riviera, in the Spring on a trip my wife wins from work... May postpone my start date a week, I hate to miss the mid march time frame that some of the other guys on here are aiming for. It's not locked in but I can't pass up 4 or 5 days in the Caribbean, (even if my wife would let me  The plan is to get to trail days in VA from springer, and have her and a friend hike with me the Thomas Knob area. That would be a 466 mile walk, eh, just a jaunt lolI need a plan for times I can't hang a hammock, if anyone out there reads this please offer up suggestions, I'm not carrying a sleeping pad, and I don't want to also pack a tent as backup. I'm sure there's a solution that has already been used.Some of the 15ers that posted regularly early this year have slacked off a bit c'mon guys pick up the pace! I enjoy reading them.Lastly,this Saturday Morning, my wife shows me a text from an old Alltel co worker informing us that a dear friend of ours has had a return of cancer that we thought was beaten, he's younger than myself... My prayers go out to him and his family, yet it highlights exactly why NOW is the time to do the AT........... We are never promised a ""NEXT YEAR"" !On that bright note I close this entry, Good Luck Randy!","5 month countdown
",View Entry,"Oct 31, Fri",0
Crusoefire,https://www.trailjournals.com//journal/entry/478341,"Someone on here may have said this, apologies if so.How do you eat an elephant?......ONE BITE AT A TIME!! (Ba dum.)drum effect)But seriously folks keep that in mind, its a bunch of 8 to 16 mile hikes usually, to start training hike 4 miles in the morning, 4 later afternoon, that is going to help tremendously as long as you STRETCH!!!Hamstrings, quads, squats as you build up add your backpack to the squats. I feel a thousand times better after stretching.Cabelas has so e great ecws coldweather gear first layer underwear that are absolutely wonderful, especially if you can catch them on sale off of that $94 price.On a different note I need to stop here and thank my wife, partner, dream supporter, she tells everyone she talks to about this walk, and s excited for me, jealous of me, supportive, and I could never consider this endeavor without her. Thanks Honey!That's it for today.Woke up breathin' don't waste it!","
","Springer, sooner or later","Nov 20, Thu",0
Crusoefire,https://www.trailjournals.com//journal/entry/478471,"Ive seen some people post about bears and worrying about how to handle them. Below you will see what most bears think about humans.I've hunted in Canada, they are pretty shy, as usual don't get between momma and cubs. If they hear you you will probably never see them.I remember waking up on a hike in Va from mcafee to tinker cliffs and the shelter past that, some kid ( young man in his 20s)from Chicago was excited because a whitetail doe had skirted thru camp and it was cool to see his excitement.Made me appreciate living in the ""almost heaven state"" and forgetting what we have is so special to many others from ""the big city"" Check out this video: https://m.youtube.com/watch?v=8jRTrRxamxQBear decides he's not interested.","Springer, sooner or later
",View Entry,"Nov 22, Sat",0
Crusoefire,https://www.trailjournals.com//journal/entry/479337,"I see several are people dehydrating food, I wonder how they taste and the calorie content upon rehydration... Saw the movie Wild this weekend, I always like Reese Witherspoon, I do wish there had been a bit more focus on the trail and trail life...still liked the movie. REI got a heckuva endorsement in the movie.I am working on a new selection for footwear, I use Keen Targhees. But we all know the have the delamination issues. I do like the toe protection, the ankle support and they are comfortable from the first time you put them on. Does anyone have a favorite that stood them well? Please post in guest book if so.I have diabetes, and saw a post from someone that has type 2 on developing a blister with his new boots, check out ""powered by Thorlo "" socks, you can wear a sock liner over top or under to add thickness but I use these when I walk 4 to 6 miles and never get blisters! March will come flying, at times I don't feel prepared, I have some logistics to catch up with it seems after reading some posts from you guys, I keep waffling on drop boxes, I will need to change some gear with the seasons, but I don't think I want to worry about food, re supply, expense is not an issue for me,but I also don't want to live on snickers bars and little Debbie cakes. So here's my question, if you were going to choose only a few places (3 to 6 places)that you sent drop boxes where would they be. Places before where it's a pain to get into town or selection is very limited.I truly appreciate your input,.... woke up breathin, gonna be a great day!","
",View Entry,"Nov 23, Sun",0
Crusoefire,https://www.trailjournals.com//journal/entry/480189,"So like the rest of you I'm in countdown mode, knowing I need some more prep, I started weighing pack and contents last night. I hit almost 21lbs without clothes water and food, ( and a couple of odds n ends)That's got to come down some, I am really shooting for 25 but will take under 28. I think my oldest son may do Springer to Damascus with me at least, that would be pretty cool, not to mention helpful. I caught the crud going around the first week of December and have had this stupid drainage and cough for nearly7 weeks! It's putting a hurt on my practice hikes and cold weather gear tests. At the risk of pushing the purists buttons, I don't think I'm going to do the approach trail, If the road is passable because I want to have that time with my 2 youngest 7&9 year old boys and my greatly supportive wife! I get to be taxied to Ga. What a luxury considering the efforts I see some of you guys going thru.Hitting the Drs office one more time to rule out pneumonia this week, then start my cold weather tests. I've certainly made REI a happy partner in this thing, and more to come if I have to finish gearing up my son to go, but what a chance of a lifetime for me, us...I only wish I all my kids (3 sons and a daughter) and wife could give it a run!HYOH (silver.. lol)","
",View Entry,"Jan 13, Tue",0
Crusoefire,https://www.trailjournals.com//journal/entry/480190,"Sry for double posting today, but I just remembered going to Trail Days this past year, we were walking down main st. And my 7 year was old looking at all the hikers, ( and probably smelling them) says:"" hey Mom why are there so many homeless people in this town?"" Rofl! I was talking to a group of hikers later and told them that story, one of the guys said "" you know what the main difference between a hiker and a homeless person is?.....Goretex!"" Hah!","
",View Entry,"Jan 14, Wed",0
Crusoefire,https://www.trailjournals.com//journal/entry/480452,"I am excited, like you,I have my doubts, like you. I expect the pain, the rain,the cold, all of it...the joy and excitement, the wonder of the vistas we will see, the hunger and and the homesickness from missing family, the expectations of completing this thing. I have tried to NOT over think it, yet be prepared, not fear the worry of in-completion, and not analyze every single section to the 'enth' degree.Some have already posted enough here to compile a chapter book before starting, I'm not criticizing, if that keeps you motivated and excited more power to you.That said, they also pass on many tidbits of useful knowledge and I appreciate it, I'm in awe of the dedication just in their posting schedule.I have started opening up here at home more about the hike, and met with many of the usual comments or questions, about what to eat? Where I'm sleeping, the ""no way, not for me"" the disbelief, the slight twang of jealousy sometimes, and the encouragement.So the countdown it is, the doubts and apprehension it is...Actually the DETERMINATION to not be the first 30% out before the NOC IT IS!","
",View Entry,"Jan 22, Thu",0
Crusoefire,https://www.trailjournals.com//journal/entry/480652,"Well...got the cabin reserved @Amicola for myself and the family for the weekend of my launch, no rooms left in the lodge apparently, it just got Real...er, lol what thoughts cloud your brain every day.I had some friends asking how far I was hiking, ""no really, how far"" after hearing my answer I started checking out ways to make coffee on the trail, my attempts with folgers singles around McAfee last spring produced crap, anyone have something that makes GOOD coffee and is lightweight?Looking forward to seeing you along the trail, hyoh.","
",View Entry,"Jan 23, Fri",0
Crusoefire,https://www.trailjournals.com//journal/entry/481124,"I've collapsed to peer pressure....seen several on here dehydrating, so with my wonderful wife's involvement we bought a dehydrator, at the same time I ordered my Jacks r better underquilt.Going to test them both this weekend and see how warm i sleep and how tasty my trail food might be!I fell short on my lead up workouts having to get my log house stained last fall and I am paying for it now on my walks. Oh well water under the bridge. I have meticulously weighed my gear, still have a few loose odds and ends, medicine etc.. But without clothes, food or water I'm at 20lbs... Winter clothes seem to come in around 8 lbs I will finish my gear list next few days and anyone with suggestions please offer it up, I do not want to be that heavy. Check out the gear list next week and let me know. I'm not changing the hammock/tarp and quilts I can't put a value on sleeping good.You can feel the palatable excitement in everyone's posts that are heading out in the coming weeks, I wish you well and good weather on the trail!","
",View Entry,"Feb 06, Fri",0
Crusoefire,https://www.trailjournals.com//journal/entry/481143,"Ok first glitch, I looked last week for ATC registry page and it said it would be launched soon. I look today and it says my dates are not available!! Big problem... I've paid for a cabin at the park, my wife has made plans to drive me down with the kids, I'm not a happy camper...hammocker right now!No one answers at any ATC office....how is this"" voluntary"" if they tell me I can't leave on the timeline I've worked hard on all winter?
Post script: took a breath, calmed down, re read and realized 'voluntary' didn't mean some ranger was going to be standing there counting heads.  
although in reading more on the atc page, that might happen in 2016... Just a heads up to next years class.
Btw I knew voluntary didn't mean ranger counting to start with, but when you try to register and get 'denied' it makes you a bit anxious after all this prep and planning.","
",View Entry,"Feb 07, Sat",0
Crusoefire,https://www.trailjournals.com//journal/entry/481198,"Update, I flew off and emailed ATC about the registration with the ultimatum that ""I was NOT going to change my plans"" lol, (guess I told em')The fine folks at the ATC replied promptly and kindly... They also said there was a bug in the program and was causing unavailable to return on dates that were open. They also mentioned the anticipation of larger than normal crowds next year...That being said I apologized for my hasty response, and post scripted, asking if that anticipation was due to the rumored Walk in the Woods movie actually coming to fruition? HmmmEnough of that, I took my new Jacks r Better underquilt for a test drive along with my sniveller quilt, last night. I believe it got down in the 30s, still looking for that data, it was 42 when I woke at 530. I had a few times where the quilt (3/4 length) slipped and hit some cold spots but I had down sleeves and down jacket to slide under me. So all in all I'm comfortable with that temp range. Perhaps if it drops further I will be ok wearing another layer. On one other note the sniveller quilt has tape or velcro to form the foot box, it kept pulling apart slightly and snagging my wool socks, minor irritation.I did make the mistake of changing setup of one hammock strap while putting it up and didnt pre test it before sitting on the hammock...bad idea... I hit the ground flipping partially down a small hill  it was ok here, on the trail that could be bad, maybe hitting a rock underneath me or something. Good lesson.","
",View Entry,"Feb 08, Sun",0
Crusoefire,https://www.trailjournals.com//journal/entry/481258,"Update on ATC registration page ...it's working! Still not mandatory but help em out it will help 2016ers.Anyone out there use a knee brace for runners or jumpers knee? If so clue me in brand etc. I have pain on down hill steps.The second thoughts and jitters creep in once in a while, almost like getting married...","atc registration
",View Entry,"Feb 09, Mon",0
Crusoefire,https://www.trailjournals.com//journal/entry/481339,"This little guy (Spartan Warrior) is a momento from my New Years trip to the New Orleans and the Sugar Bowl, he is going to be hanging off my pack strap to remind me.... Never quit, never give up, we all prepare, maybe OVER prepare, equipment wise and physically. What's our mental prep consist of?I was teaching my 7 year old to visualize while throwing the football around a few days ago, he had dropped almost every catch up to that point. I had him close his eyes and talked him thru the motion of seeing me throw the ball, the ball spiraling towards him, getting closer and closer until he reaches out and pulls it into the ""basket"" of his hands and body. ""Now open your eyes"" I said. I throw the ball and.... He caught it! 4 times in a row! After that..Talk about a convert to visualization, he continued visualizing, taught me a lesson about this walk also See the hike, be the hike, finish the hike....","
",View Entry,"Feb 10, Tue",0
