Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Whojo,https://www.trailjournals.com//journal/entry/514410,"The plan #1...Is, to start planning which includes saving money, buying gear, moving stuff to Florida (more on that later), and having enough money saved for re-entry. Plan #2...Is to look for better opportunities (Career) and if I can find something that pays well, I like, etc...well, then plan #1 will have to be put on hold. To complicate things further...I have to have all my ducks in a row to start in April. There's no need to start, when I know that I don't have enough cash...Can't crash and burn.So I went over the numbers ie. how much to save from each paycheck, how many overtime days I need, etc...as of now, I'm ahead in overtime days and saving like gazelle crazy (see Dave Ramsey)!I've also started buying gear, which lead to buying a scale... and then turned into starting a spread sheet to keep up with it all.The goal is to complete the trail in 5 months, so I want to go as light as I can within my budget. Sometimes I have a hard time justifying the cost for certain items. I'm trying to get a base weight of all items in my pack to around 11 lbs, not including food, water and fuel. So I'm open to any suggestions!",,The plan,"Sep 26, Sat",0
Whojo,https://www.trailjournals.com//journal/entry/514411,"After talking to my landlord about general stuff (just shoot'in the S%^#). I learned, that he had done (when he was younger) what I would like to do for a career. I asked him if he could critique my resume. Going into it, I thought he's gonna look at my resume and be like WOW! This is great! Don't change a thing!Unfortunately, out came the red pen... and I got a rude awakening. When it was all said and done, my resume looked a thousand times better than when I started. Thanks Tom! You are like the Mr. Miyagi (wax on wax off) I needed for the rough draft.I look at my gear list like he looked at my resume and thought..what can I change to make it lighter, how can I make things more efficient or pull double duty. So I have approx. 6 months to work on the rough draft until it's time to turn in the final paper (so to speak). Researching gear is a long process. So many companies. Then examining the material used in the product and its weight plus its price has taken a long time. Having a digital scale that reads in grams adds to the craziness.Being able to look at things in a different way, has been difficult. For example, I want to carry a knife, but do I really need one? A single edge razor blade, will work. Another would be camping stoves....I have used an MSR Whisperlite for, forever. They are obsolete now. Then I read about cat can stoves that run on denatured alcohol and can boil 2 cups of water in under 5 minutes using less than an ounce of fuel. I cook meals (mac-n-cheese, instant potatoes, etc..) in my Evernew 1.3L Titanium pot. It still seems weird to cook on an alcohol stove.",,Rough draft...,"Sep 26, Sat",0
Whojo,https://www.trailjournals.com//journal/entry/514413,"Desire...How much do you want it/have to have it....
There are 2 examples that come to mind when I think about making it all the way to Mt. Katahdin. 
One being, what I decided to do, to make it to the career I once had. The drive was 10 out of 10, no questions asked. I started at the bottom and worked my way up. Then the drive I had for a second career choice (RN) started out strong but lost its momentum. So I decided to keep a spiral journal (started Mid-August) to record how I feel about the physical/mental challenges I think I will face until the start date. 
Do I still have that ""Desire"" to make it all the way...so far absolutely! Hope I can say the same thing at 1000 miles.",,Desire...,"Sep 26, Sat",0
Whojo,https://www.trailjournals.com//journal/entry/514414,"I'm working on making/purchasing gear. 
Once I have the basics for a weekend trip, I hope to find some cold rainy weather to test my stuff. I'm open for going to North GA. for this but as far as training I feel I'm at a disadvantage because I live on the coast. I suppose I could hike up the Talmadge Memorial Bridge in Savannah or maybe the one in Brunswick.Re-thinking....as I look at the spreadsheet I set up. I can't help to think about stuff that I want to carry but don't need because I can buy it in town, within a few days (for the most part). Things like, nail clippers or do I need 2 bic lighters or would a book of matches in a ziplock work, large first aid kit, etc...",,Testing and re-thinking,"Sep 26, Sat",0
Whojo,https://www.trailjournals.com//journal/entry/514415,"So I bought my pack from R.E.I. (Thank you Karen for helping me with stolen pack issues!) and quilt from Enlightened Equipment. 
On to the tent....build my own I thought. All I think I need is a bug net and lightweight tarp and alakazam, I'm good. Ordered a military mosquito bar net off of amazon (weighs 2-3 lbs), went to Homedepot (sorry Lowes) and picked up a plastic painters tarp (2 mil) and soldering iron. Learned how to weld plastic for the bathtub floor that weighed 8 ozs. Put my old therm-a-rest in it and laid down...thought ""this rocks""! Until I stretched my shoes across it and ripped holes in the stuff. Went back to Homedepot and got 4 mil. Welded great but was to heavy and ridged. Even bought a cheap sewing machine cause how hard can it be....then I realized that even though, over time, I could master these things. I just needed to spend the money and buy decent gear. 
Certain stuff you can go cheap and other stuff you just can't or shouldn't. Thanks Judy for super fast service! Solong6 it is.",,Research & Development...,"Sep 26, Sat",0
Whojo,https://www.trailjournals.com//journal/entry/515802,"Where are you now Andy Barrows?Well I've gotten most of the bigger pieces of gear and had a chance to talk about the trip with some close friends (Ryan/Courtney). I knew Ryan would be all for this trip but it was cool that Courtney seemed on board as well. She had many questions and was legitimately concerned. I realize, its easier to tell someone your plan when you have all your bases covered. That way, they have less doubt/fear of what you are about to do. The ones who care worry..the ones that don't, do not. Finances...Still on trackThe idea of doing this has given me a goal...I can't explain it but that desire thing is kicking in! I've also been thinking about getting a second job. Overtime is gonna run out at the end of this month.Today was AWESOME!!!Met an AT thru Hiker (1998) at work!!!While driving around work, I noticed a vehicle with an unusual license plate. It had the silhouette of a hiker on it. I approached the driver and asked what the license plate meant with the hiker?He said he hiked the Appalachian trail in 1998 and the continental divide trail (can't remember the date). I was shocked... and told him of my plans. I could tell he was happy. After lunch I went to his office and asked him about the AT. He had pictures of his trips everywhere! I told him I had so many questions that I didn't know where to start!After rambling on about my gear and plans, he agreed that I should go with an alcohol stove, plan less mail drops (he did zero), etc. I asked him if I could talk to him more about the AT and he said come by anytime.It's funny how things change....When I told him of my packs base weight and what he carried are like comparing apples to oranges... He might has well carried cinder blocks in his pack! Hahaha!",,Less than 6 months out...,"Oct 13, Tue",0
Whojo,https://www.trailjournals.com//journal/entry/516735,"Got off work and made reservations for 2 nights at Jekyll Island campground to test out my gear. On the way, I stopped at Walmart and bought a bottle of Heet $1.58, 2 tuna packets @ $2.48, 3 Idahoan potatoes @ $3.00, 1 mac-n-cheese .98, Knorr Teriyaki rice $1.00, chicken stuffing $1.25, Peanut M&M's fun size $2.68 and Hostess Ho Hoes $2.98. Also got trekking poles and 50' paracord. Finally made it at 7:45 pm. I bought a bag of firewood from the campground host and I followed him to my site. Temperature was probably in the 70's. This would be the second time I set up my tent, this time in the dark. It took less than 5 minutes. I only bought the trekking poles because I forgot my modified tent poles that I used before. Wish I had flick-lock poles right know. After that, I lit my cat can stove and waited for the water to boil. I kept hearing a chopping noise from another camp site...then heard a tree fall. WTF...idiots! The water was boiling and I poured it into a zip lock bag (not a real ziplock) filled with mac noodles then put it in the insulating pouch (sunscreen) I made. I over heard my neighbors say they were all most out of wood so I asked if they wanted some. They invited me over. John and Mary were from Pennsylvania. John told me they were retired and have traveled all over the U.S. In one of his stories, he explained that it was better to have independent suspension on your camper when traveling in Alaska because the roads shift (up and down-tundra/permafrost) and those that did not have it would bounce up, tires still spinning, land hard and leave tire marks on the road or a story about a restaurant they went to on Prince Edward Island (above Maine) and had the best lobster dinner. We finished around 11:30. I checked my mac-n-cheese noodles. The bag had a hole in it and the noodles had turned to mush. I saved the cheese packet. Went to sleep around midnight.Sometime during the night my Exped mat lost air, I pumped it back up. got up to pee and tripped over a guy line (need glow in the dark paint?). I managed to re-gain balance and not fall. This is the first time I've used a non-free standing tent and am not used to it. I opened my eyes the next morning and counted 12 mosquito's inches from my face and was also laying flat on the ground. Exped lost air. 7:50 a.m. I crawled out of my tent and swore rigamortis had set in. I looked to my left and there was John with a smile on his face (probably because he slept in his nice camper and I slept on the ground) and offered me a cup of coffee.11:15 R.E.I., Jacksonville, FL. I bought a 2L platypus, 15 liter food bag, shirt and hat.When I got back to the camp site I had to decide whether to walk the big bridge and get Mcdonald's or walk the Island and get Dairy Queen, DQ wins! 2:00 p.m. I packed my tent, clothes, food bag, quilt, sleeping mat, 2L platypus, rain jacket and 20 oz powerade and left by 2:15. For some reason I left my stove, Heet, windscreen and 1.3L pot on the picnic table. Hung a left out of the campground and followed the bike path. Things I noticed... My shoes weight 14.4 oz a piece, wish they were lighter, need to pack my backpack better, shoulder straps are killing me (also need to put frame back in), Platypus bite valve sucks! Need to swap out with Camelback, much better!Finally came to, I guess the half way point. I could turn left and go to the DQ or right and walk over the bridge leading to the island. As I'm walking up the bridge I thought, just make it to the top then you can turn around. Made it down the bridge, turned around and went back up. Went to DQ and ordered a cheeseburger and medium chocolate extreme blizzard. Afterwards I continued toward the campground. The last hour my legs were killing me, don't stop, keep going I told myself. You have 6 beers waiting for you.7:15 made it back to camp store and bought a bag of ice. I asked the girls at the register how many miles it was around the island. They said 22 on the bike path. There's no way I walked 22 miles, must be wrong. Had to be closer to 8-10. Put ice in my cooler and ran into John, he said it was closer to 16. I sat down on the picnic table and was attacked my mosquito's so I walked to the showers. 7:30 Set up tent in the dark again (hope this does not become a habit), pumped up sleeping pad (wishing I had a Z-lite right now) got firewood, and drank cold beer. I made the Idahoan applewood smoked bacon mashed potatoes and added the cheese from last night's failed attempt. This stuff is AWESOME!!!! Went to bed at 10 p.m. phone at 31%During the night, my sleeping pad kept shifting to the left and I would wake up half on half off. I think the silnylon is just slick and will take some time getting used to. Something was crawling on me during the night, spider maybe? Woke up, sleeping pad lasted the whole night. Climbed out of my tent, made some hot chocolate and found some IBprophen in my truck. Phone was dead.I packed up and drove around the island including the bridge, total 10.6 miles. I think I could add another 2 miles but need to get a pedometer to be sure.",,Training day,"Oct 30, Fri",0
Whojo,https://www.trailjournals.com//journal/entry/517714,"This is a test. It's the first time I've used my phone to make an entry. A couple of things to update. I know I said in the beginning that if I found a better job that the hike would be put on hold. Well, I Haven't Looked. I'm to focused on hiking in April. Also was hospitalized for a few days and got ""cleared"" to hike the trail by my doctor.",,Strike 2,"Nov 25, Wed",0
Whojo,https://www.trailjournals.com//journal/entry/519246,"Sorry!!! For some reason this entry failed to load correctly.I've been waiting for the weather to start getting colder in North Georgia so that I could test my gear against the cold weather. My main concern was that my 30 degree quilt and clothes I picked would be warm enough for the first week of April. The predicted temps. today would be in the high 30's - low 40's and mid to high 20's at night. I left Savannah a little after noon and arrived at Amicalola Falls State Park before 5p.m. Drove up to the lodge and reserved a campsite. There was one left. For this trip I brought way more stuff than normal. I screwed together my pocket rocket (Chinese knock off) and noticed that because I paid less that 5 dollars for it. It sprays fuel every time I screw on the canister. The pizo igniter is starting to get loose but once lit works great. While waiting for water to boil I set up my tent and sleeping pad. Since it was going into the 20's I did not need to keep the awning up on my Solong 6 tent. That cool idea I came up with. Using an arrow shaft for the awning pole. Waste of space. A stick I find on the ground will work fine.So I'm in my tent pulling zip lock bags with different stuff out of my pack when I found my Anker 5200 mAh battery charger. When I left, it had 3 blue lights or 75% charge. I think I plugged my phone (9%) into it around 7p.m. (the battery in my cell phone is 1900 mAh) set the charger in an extra wool sock and went to sleep.I'm sleeping in 1 pair of hiking shorts, wind pants, thick camp socks, hiking T-shirt, long sleeve hoodie and down hooded jacket, covered with my 30 degree enlightened equipment quilt.During the night I woke up when part of the quilt wasn't over me or when my arms would slide off my sleeping mat and touch the crushed stone camping pad my tent was set up on. The next day I woke up and was excited to start hiking. I packed up and noticed that my phone was charged to 46%. Either I'm doing something wrong or the cold weather is killing my batteries and I have to insulate them better. Also have no cell service. I use StraightTalk and was hoping that I would be using Verizon towers but no luck. Airplane mode helped but may need to come up with something different.Things I learned...awning pole is not needed during cold weather, need a pee bottle for cold weather, remember to keep hiking socks in warm place for the next morning, buy a charcoal lighter to replace mini bic.Overall, my gear would work for this weather but I decided to get thermal top/bottom for the next night. I packed up, went back to the lodge and asked where the nearest Walmart was for a few extra things before the approach trail. The reservation clerk was very helpful and told me to take a left out of the park and drive 18 miles to Dahlonega.",,Gear test,"Jan 01, Fri",0
Whojo,https://www.trailjournals.com//journal/entry/519343,"I turned left out of the park and drove 18 miles to Dahlonega. I needed gas first so I stopped at a gas station. Think I paid $1.76 per gallon. Drove another mile or so and the Walmart was on the right. There I bought some Hershy bars, kit kat bars, beef jerky, blueberry pop tarts, 4 pack of Guinness, Campbell's chunky chili, shredded sharp cheddar cheese, loaf of french bread and the thermal top and bottoms (long underwear). After getting groceries I went to the travel cup/mug section. I looked one more time at travel mugs because I like having something to drink hot chocolate/coffee, etc. out of. Nothing I wanted, so I left. I kept thinking...need a big styofoam cup and I will be set. Back to the gas station and bought a 32 oz. coke in a styrofoam cup... and a banana nut muffin. Went back to the park. There was a lot of people at the park. I went to the visitor center and asked about leaving my truck in the parking lot and hiking the approach trail. The clerk told me to park at the lodge and start there because she thought I would not make it up the stairs with my pack.I smiled, signed in and took my yellow pass. Walked back to my truck and grabbed my pack.My pack was loaded with probably 6 days of food, 6 oz. denatured alcohol, pocket rocket canister, 2 pints of Guinness and 3 liters of water.I went behind the visitor center and took a picture of the archway and thought it's not time yet to cross under it. So I turned around and looked for the path to the stairs going up to the waterfall.400+ stairs later, I was on top (never doing that again!) and picked up the trail. I started between 1-2 p.m. So far so good, I passed a dozen people hiking. There were 3 people in I'm guessing their early sixties that put their hands up and said, ""it's the hiking bandito, don't rob us!"" as they passed me. I laughed because I had my ball cap on and buff over my face and you could only see my eyes (it was cold!). Got to say, this was the first time I've really used polyester/nylon/wool clothing to keep warm. Mostly used cotton and let me tell you what a difference it makes. Also could not have made it this far without the trekking poles. It's like turning your body into a 4 wheel drive machine. They provide stability, help you power uphill and slow you down when descending, saving your knees.The main reason for this trip was to test for cold weather. If I made it to Springer would be great but I looked at getting there, as a bonus. Which is why with about 30 minutes of sunlight left, I decided to make camp. I remember this spot from a long time ago. There was an opening, fire ring made of rock and 3 big concrete blocks. One had ""First Platoon"" written on it. Pitched my tent, drank the pints of Guinness, then heated the chili and cheese in my pot. Normally I would only boil water in the pot but...I'm testing stuff this weekend. That includes, filtering water with my sawyer mini, using aquamira solution, comparing a cat can stove vs. pocket rocket stove and finally toilet paper vs. baby wipes...That's why I brought the chili. I used the spoon a couple of times then remembered the loaf of bread I was carrying and broke off a few big pieces to dip in the chili and cheddar cheese mixture. Very good on a cold night! Thermals were put on and I called it a night.",,Gear test part II,"Jan 02, Sat",0
