Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Hoody,https://www.trailjournals.com//journal/entry/523897,This a test entry to make sure I am navigating the site properly.,"
",0 day,"Mar 18, Fri",0
Hoody,https://www.trailjournals.com//journal/entry/523898,I am just getting started,"0 day
",0 day,"Mar 18, Fri",0
Hoody,https://www.trailjournals.com//journal/entry/523899,My lesson in navigating this journal is complete,"0 day
",0 day,"Mar 19, Sat",0
Hoody,https://www.trailjournals.com//journal/entry/524293,,"7 days
",Unicoi Gap,"Mar 20, Sun",7.60
Hoody,https://www.trailjournals.com//journal/entry/524296,"Woke up this morning in my tent at Blue Mt. under a blanket of snow. The Blue Mt. area had approximately 30 hikers all moving very slowly. Mid 20's temp will do that. Hiked 2.4 miles to Unicoi Gap and then to Hiawasse, GA for the night. Another brutal morning forecast for tomorrow. Will enter trail at Unicoi Gap with a planned camp at Addis Gap. Brrrrr!","Blue Mountain Shelter
",Unicoi Gap,"Mar 21, Mon",52.90
Hoody,https://www.trailjournals.com//journal/entry/524628,"My hike today mostly uphill from Unicoi Gap to Addis Gap. After huffing and puffing for 4 hours I get close to the summit of Tray Mt for a planned lunch break of protein bar and fig bars. What did I see when I arrived at that summit? A trio of Trail Angels with chairs, hot dogs, chili, and cold drinks! What a feast. An hour later I am back on the trail climbing again and encountering numerois stretches of extremely rocky trail. After 11.5 miles I arrive at Addis Gap and go to the water source 1/2 mile east to find cascading water falls and idyllic camping. Great day!","Unicoi Gap
",Addis Gap,"Mar 22, Tue",0
Hoody,https://www.trailjournals.com//journal/entry/524636,I woke up to a glorious morning to see this. Did not sleep much but feel rested. Heard a screech owl hunting for an hour or so and coyotes howling. This was a great place to stay and hated to break camp. Began the days hike of six miles of arduous climb. Some beautiful trail. Having a great time. Arrived at Dick's Creek Gap to begin a short R & R.,"Addis Gap
",Dicks Creek Gap,"Mar 23, Wed",6
Hoody,https://www.trailjournals.com//journal/entry/525213,Trail journal 3-25. Day 10Crossed from Georgia into North Carolina today. A milestone. Also had more altitude gain today than any other. Hiked 11.9 miles. Always climbing. Great day. We are camping at Muskrat Creek Shelter. Good water. No bear cables. I am acclimatizing well. Today is my 11th day. I hope to have my trail legs by mid-April. Total miles 81.4,"Dicks Creek Gap
",Muskrat Creek Shelter,"Mar 24, Thu",0
Hoody,https://www.trailjournals.com//journal/entry/525217,Hiked from Muskrat Creek Shelter to Carter Gap Shelter 12 1/2 miles. Mostly climbing. Terrain becoming rockier and more vegetation. Good hike. Staying in a shelter for the first time. 6 hikers and supposedly 500 mice. Rain forecast so I opted for shelter vs tent. Rainy day forecast tomorrow. Total miles 93.9,"Muskrat Creek Shelter
",View Entry,"Mar 25, Fri",12.50
Hoody,https://www.trailjournals.com//journal/entry/525219,3-27 Day 12Carter Gap Shelter to Longbranch Shelter. 8.6 miles. Climbed Albert Mt. Toughest climb yet. Firetower at summit marks another milestone 100 miles. Total miles hiked 102.5,"Carter Gap Shelter
",Longbranch Shelter,"Mar 27, Sun",23.50
