Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
SoloGrampa,https://www.trailjournals.com//journal/entry/660460,"Starting the trail Sat. Thanks so much to all the generous people who've made pledges ""tunnel to towers"" for my campaign. Let's keep it going! God Bless you all!",,View Entry,"Mar 06, Mon",0
SoloGrampa,https://www.trailjournals.com//journal/entry/660998,,,View Entry,"Mar 18, Sat",0
SoloGrampa,https://www.trailjournals.com//journal/entry/661073,"about to start day 11. It's been real tough up to now.N.H. doesn't have anything on N.C. These mountains are horrendous!! I've had major Big Toe problems since ce day one. Gonna lose my nails for sure. Trying to get a new pair of shoes today. I'm at mile 137 now. I'm behind my schedule, but I can't do much better than I'm doing. Sorry I didn't log in sooner,but I'm not to good at this tech. stuff, and also you need good service. ","
",View Entry,"Mar 21, Tue",0
SoloGrampa,https://www.trailjournals.com//journal/entry/661147,"well, it's night 13. Already had 5 days of rain. Had some severely cold weather. One morning was around zero! I'm usually alone during the day, but generally see people when it's time to quit. Usually at shelters or campsites.  Met alot of nice people on the trail. Even with the cold weather the wild flowers are starting to bloom. I head into the Smokey Mountains tomorrow. Don't know if I'll have any service at all. You can follow me on. Share.garmin.com/DavidManca",,View Entry,"Mar 23, Thu",0
SoloGrampa,https://www.trailjournals.com//journal/entry/661262,"Hi everyone. Last couple days have been good. Miserable weather 2 nights ago, and it rained this morning just before I left camp. Makes the trail real sloppy. Your hike could end in a second if your not careful. Lots of roots,and loose rocks to trip on. Was on Clingmans dome this morning (6,643'). Nice day for hiking, but the views were limited from the Dome",,View Entry,"Mar 26, Sun",0
SoloGrampa,https://www.trailjournals.com//journal/entry/661264,"I'd like to thank everyone from the bottom of my heart that have made pledges! I'm humbled by your generosity. Let's keep this thing going. Keep a copy of my QRcode on your phones, and spread the word. You guys are the true heroes in this campaign, I'm just the driving force!",,View Entry,"Mar 26, Sun",0
SoloGrampa,https://www.trailjournals.com//journal/entry/661411,"feeli g a little guilty today.Im in Hot Springs NC. Taking it easy.I got off trail this morning to pick-up a few things, and stay in a hostel. Feels good to get some of this grime off me. My toe is looking a little better. It still throbs at night. Just did a 20,21,and a 20 (miles) in a row. Been meeting up with a lot of folks I've met on the trail. Me and ""Joker"" are probably gonna part ways tomorrow. He's slack packing today. I caught up to my adopted grand daughters from. New Zealand, but now they're gone again.  Just ran into ""Easy Ryder""and Jewles in town. I'll be leaving 13 lbs. heavier in the morning. Had a nice meal at the diner today. I sat with a couple that invited me to their table. I told them about my mission for tunnel 2towers, and they were intrigued by my goals.Turns out they paid for my meal on the sly, and she's gonna put me on her FB page to try to help out",,View Entry,"Mar 30, Thu",0
SoloGrampa,https://www.trailjournals.com//journal/entry/661436,"well it's 1:15 in the morning, I'm in the most comfortable bed I've been in for 3 weeks, and I can't sleep!🤭 Bad choice of diner food, and my toe is throbbing like hell.( fluid build up under nail) Now I gotta go like hell when I hit the trail tomorrow to try to catch up with the people I'm used to being around. I saw ""Easy Ryder""and ""Jewels"" in town today, but they didn't stay, ""prof. Sprout"" and my adoptive Granddaughters from New Zealand are ahead of me again. Me and ""Joker"" have traveled the same speed since Fontana Dam, but he slack packed about 10 or 12 miles today, so he'll start there tomorrow. We got some rain coming in, and by next week end it's showing 3 days in a row!! Hopefully that changes. I guess ""ol' solo grampas"" gotta get his act together in the next couple of days or make new friends! These kids are about a 1/3 my age, if that, but I'll catch um! Except ""Joker"".He's a year and a half younger than me, and a bit faster. I'll miss them all, so I hope I catch up 🤞",,View Entry,"Mar 31, Fri",0
SoloGrampa,https://www.trailjournals.com//journal/entry/661499,"well it's been a few days. Service has been poor up in the mountains. After  my day off in Hot Springs, I was feeling a little guilty. I never got back on trail till 10:20 the next morning because brkfst. Isn't till 9. It was a rough day. I don't think my body likes to rest. I'm gonna strive to not stop that long again! Back to making good progress again. Yesterday was only about 17.5, cause the trail was really hard. I was up in the cliffs, me and some other hikers even lost the trail in 2 places. I was gonna tent out, so I could get some extra miles in,but about 3 miles past the shelter I saw a sign for a hostel 100 yds. down the road. It was so windy that trees were snapping in the woods! I figured I didn't want to wake up dead, with a tree through my tent, so I went to the hostel! Best 25 bucks I ever spent!",,View Entry,"Apr 02, Sun",0
SoloGrampa,https://www.trailjournals.com//journal/entry/661619,"Just a quick update. Still in Tennessee, but getting close to Virginia. There are no easy days! I  rarely stop during the day, just to fill my water bottle in a brook, or a run off from the side of a mountain. Tomorrow is gonna be a tough day. Some big mountains coming up. It's  supposed to rain also. I'm hiking alone every day pretty much. I need to get to a hostel soon and get cleaned up!  Till next time ""Solo Grampa""",,View Entry,"Apr 05, Wed",0
SoloGrampa,https://www.trailjournals.com//journal/entry/661661,"I'm taking a much-needed break this afternoon. I did 11 miles today, and checked I to a hostel. Having a few beers, getting  myself steamcleaned, and having g a good meal. Brkfst. at 8 tomorrow morning, then hit the trail. Yesterday was a tough day! I know I say that about every day, but this one was worst. The trail took me up to 6,200 ft., then down to 5500 in Carvers gap, then back up to 5800 and some change. Supposed to rain tomorrow.  I hope they're wrong. I'd like to give a shout out to, Karl, Kevin, and Dave who I met on the trail for making a donation to my campaign. Should be in VA. in about 4 days I hope.",,View Entry,"Apr 06, Thu",0
SoloGrampa,https://www.trailjournals.com//journal/entry/661775,"it's been raining for 2 days. Miserable hiking. It turned cold again. I'm putting up in a hostel tonight, to get dried out. Some real nice spots today.  Went along a river, huge water falls. Then we had a 2,000 ft. elevation gain up out of the gorge! It was a killer! I'm about 46 miles south of Damascus now.",,View Entry,"Apr 08, Sat",0
SoloGrampa,https://www.trailjournals.com//journal/entry/661865,"2 nice days in a row!Racked up so.e good miles. Got to the Virginia border about 4:00pm today. Gonna loose some time tomorrow. Not happy about it, but I need to go to Urgent care, and get checked out. Gotta pick up my mail drop also. That means a heavy pack again. 😔I hope I can get outta town by noonish",,View Entry,"Apr 10, Mon",0
SoloGrampa,https://www.trailjournals.com//journal/entry/661946,"just got a couple bars on my phone, so I thought I'd update. Spent yesterday morning in Damascus. Camped on a hill overlooking the town the night before. Had some deer snorting at me as soon as I got to sleep. They didn't like me camping on their turf. Kept me awake for an hour running around snorting. The diner was closed in town, so I ended up eating at a gas station/store/restaurant. Picked up my food drop at the p.o., and was out of town by 10:30 or so. Rude awakening putting that pack on with an Xtra 12lbs. Now I gotta eat the weight off. Saw my 1st.snake yesterday! Not happy about that. Only managed about 14 to 15 miles yesterday with the late start. Couldn't make it to a shelter, so I stealth camped..",,View Entry,"Apr 12, Wed",0
SoloGrampa,https://www.trailjournals.com//journal/entry/661947,"just got a couple bars on my phone, so I thought I'd update. Spent yesterday morning in Damascus. Camped on a hill overlooking the town the night before. Had some deer snorting at me as soon as I got to sleep. They didn't like me camping on their turf. Kept me awake for an hour running around snorting. The diner was closed in town, so I ended up eating at a gas station/store/restaurant. Picked up my food drop at the p.o., and was out of town by 10:30 or so. Rude awakening putting that pack on with an Xtra 12lbs. Now I gotta eat the weight off. Saw my 1st.snake yesterday! Not happy about that. Only managed about 14 to 15 miles yesterday with the late start. Couldn't make it to a shelter, so I stealth camped..",,View Entry,"Apr 12, Wed",0
SoloGrampa,https://www.trailjournals.com//journal/entry/661948,"just got a couple bars on my phone, so I thought I'd update. Spent yesterday morning in Damascus. Camped on a hill overlooking the town the night before. Had some deer snorting at me as soon as I got to sleep. They didn't like me camping on their turf. Kept me awake for an hour running around snorting. The diner was closed in town, so I ended up eating at a gas station/store/restaurant. Picked up my food drop at the p.o., and was out of town by 10:30 or so. Rude awakening putting that pack on with an Xtra 12lbs. Now I gotta eat the weight off. Saw my 1st.snake yesterday! Not happy about that. Only managed about 14 to 15 miles yesterday with the late start. Couldn't make it to a shelter, so I stealth camped..",,View Entry,"Apr 12, Wed",0
