Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Crazy legs ,https://www.trailjournals.com//journal/entry/605081,,"Miles brought forward from 2015 journal
",View Entry,"May 13, Fri",644
Crazy legs ,https://www.trailjournals.com//journal/entry/533209,"A glorious first day of our 150 mile section hike. Since we arrived a day early in NC, we decided to start our hike a day sooner than planned. I'm hiking with Turtlestone/ Jenny. Her husband Tim drove us back the 6 mile dirt forest service road to start our trek. The forest was especially beautiful today and the trail was fairly easy. Spent all of the day above 4,000 ft. Our highest point was Standing Indian Mountain at 5,435 ft. Grand mountain views from the summit. Spending the nite in our tents by Carter Gap shelter. Tonight's forecast is 37 degrees with high winds.....good sleeping weather!","Deep Gap
",Carter Gap Shelter,"May 14, Sat",8.50
Crazy legs ,https://www.trailjournals.com//journal/entry/533628,"Beauty all around...and then the killer climb to the top of Alberts Mt. Lots of precarious rock scrambles for my short legs. BUT we conquered... And our reward, a gorgeous view from 5,250 ft. Jenny climbed the fire tower for an even better look. I tried, but just couldn't get past the first flight if open stairs. The path beyond Albert was much kinder all the way to Long Branch Shelter where we spent the night. We were joined by a lovely older couple and then 9 young Baptist youth ministers who were in a bachelor party hiking trip. They serenaded us aound their campfire with harmonizing religious songs accompanied by a ukelele and tamborine. HEAVENLY !","Carter Gap Shelter
",Long Branch Shelter,"May 15, Sun",8.60
Crazy legs ,https://www.trailjournals.com//journal/entry/533631,"Still no open blossoms on the millions of rhododendrens, but lots of wild flowers of all colors. The deciduous forest was amazingly green and full of squirrels, chipmunks, and birds. Most of the rocks we encountered were near Rock Gap shelter where we stopped for a break. Only half of the shelter survived from a giant tree falling on it a few weeks back. Luckily no one was hurt. Found trail magic (food and drinks set out by a trail angel) shortly before finishing up at Winding Stair Gap where Tim picked us up to go to his campground down the road.","Long Branch Shelter
",Winding Stair Gap,"May 16, Mon",7.30
Crazy legs ,https://www.trailjournals.com//journal/entry/533636,"Taking the day off to get back on schedule, shower, do laundry, resupply our backpacks.....and relax our old bones! This is a good chance to mention that I am backpacking for a cause as well as for fun. I'm collecting donations for Steve Sanders, a friend and member of my church, who is battling cancer. Checks can be made out to Pittsfield Community Church with Steve's name noted. Thank you to all who support in this endeavor. Prayers are welcome too!    Pittsfield Community Church    17026 St. Rt. 58      Wellington, Ohio. 44090","Winding Stair Gap
",Winding Stair Gap,"May 17, Tue",0
Crazy legs ,https://www.trailjournals.com//journal/entry/533833,"5-18-16. First hour uphill then not too tough until the last climb of the day. Stopped at Wayah Bald stone tower (elev. 5,342ft) for a long break. It was my best views ever so far on the AT. The clouds also gave it an interesting twist. Made good time getting to Cold Spring Shelter even considering the last big climb. The shelter was right on the trail and soon filled up since only held 6. It was a treat having the spring just 20ft in front of shelter. Met numerous interesting people both in the shelter and camping nearby.","Wayah Gap
",Cold Spring Shelter,"May 18, Wed",9.90
Crazy legs ,https://www.trailjournals.com//journal/entry/534037,"5-19-16   It was too cloudy between the mountains for any views while above 5,000ft. until later in the morning. We did get a great view from Wesser Bald. Jenny got the best view from the observation tower. Passed through miles of lush green forest again today seeing even more wild flowers, azaleas, and mountain laurel. Stopped at Wesser Bald Shelter where we had planned to spend the night but felt strong so moved on. A rugged steep climb took us to a fabulous view from ""The Jump Off"". Then a rocky decent with some scrambles led us to our shelter for the night.","Cold Spring Shelter
",A. Rufus Morgan Shelter,"May 19, Thu",10.70
Crazy legs ,https://www.trailjournals.com//journal/entry/534188,5-20-16   We laughed and talked around the campfire last night with the 3 young men that joined us at the shelter. But it was a tough night sleeping cuz one of them snored LOUDLY all night. I might have gotten a half an hour of sleep. Luckily we only had a one mile to hike to NOC where we met with Tim for resupply. NOC is a popular outdoor adventure destination on the Nantahala River Gorge. Spent most of the day watching kayakers shoot the rapids and falls. We also got to eat real food then spent the night in a bunkhouse room to rest up for the next few days back on the AT.,"A. Rufus Morgan Shelter
",Nantahala Outdoor Center,"May 20, Fri",1
Crazy legs ,https://www.trailjournals.com//journal/entry/534316,"5-21-16 After a great night of sleep in the bunkhouse and a bountiful breakfast at the River's Edge Restaurant the torture began. The first 5.8 miles was almost completely uphill and steep. The original blazers must not have believed in switchbacks. It was so tough for me that I'm rather sure my teeth were sweating. I had to take lots of rest breaks, the best being at the Jump Up where the views were panoramic of the mountains all the way down to the Nantahala Gorge. By the way, Nantahala is Cherokee for ""River of the Noonday Sun."" Avoided the rain and arrived at Sassafras Gap Shelter where several others were also spending the night. Hawaii, New York, and England among other homes were represented.","Nantahala Outdoor Center
",Sassafras Gap Shelter,"May 21, Sat",6.70
Crazy legs ,https://www.trailjournals.com//journal/entry/534480,"5-22-16.   It rained off and on through the night, but our shelter stayed dry. Ended up with 20 hikers in the camp. Our first 4 miles of trail was a roller coaster of slippery mud and rocks. We hiked sometimes with Chuckles and Tag Along, 2 older ladies from Alaska. Unbelievably, talked to Karen Farago, from the same home town in Ohio as me. She was working on a crew doing trail maintenance, looked at me and said ""I recognize you"". She had seen my story in the local newspaper about hiking to raise money for Steve Sanders' cancer medical bills. SMALL WORLD! Had a few good views today before our downhill to Stecoah Gap, where Tim had set up trail magic for the hikers. We took a long break there sitting in the sun, shoes off, eating all sorts of goodies with the other passerby's. The first mile after the gap was a steep climb followed by the really steep climb called Jacob's Ladder (600 ft. Elevation climb in .6 mile ). OMG! It was a quick steep descent to Brown Fork Gap Shelter for the night. Good company again.","Sassafras Gap Shelter
",Brown Fork Gap Shelter,"May 22, Sun",9.10
