Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Iowa Pappy,https://www.trailjournals.com//journal/entry/511040,"Hiked for two days in the Lye Brook Wilderness to Stratton Pond and then Manchester Center. Gear worked well. Need a longer tent as I am 6'5"" so the Fly Creek was a bit tight. The resident beaver had a good laugh when I fell in some moose poop.",,Gear test,"Aug 22, Sat",0
Iowa Pappy,https://www.trailjournals.com//journal/entry/511041,"Still trying to decide on a sleeping bag for cold weather. Leaving April 27, 2016. 20 degree warm enough for Georgia then? Leaning toward Down/mummy.",,Sleeping Bag question,"Aug 22, Sat",0
Iowa Pappy,https://www.trailjournals.com//journal/entry/511042,I have converted my design studio into AT Prep HQ. My dog wants to come but he is a Corgi with not much for legs.,,Preparing HQ,"Aug 22, Sat",0
Iowa Pappy,https://www.trailjournals.com//journal/entry/514980,"New job put my office on fourth floor. Sweet! All those stairs five or six times per day will help. Hiked locals hills too. Getting there, slow but sure.","Preparing HQ
",View Entry,"Aug 23, Sun",0
Iowa Pappy,https://www.trailjournals.com//journal/entry/515321,Almost done with the gear research and purchases. Still can't decide about the choice between boots and trail runners. Looking for good support and lightweight. Doing lots of stairs and walking to get in shape.,"
",View Entry,"Oct 06, Tue",0
Iowa Pappy,https://www.trailjournals.com//journal/entry/515823,"My wife is going to joint me for the first two weeks and then meet me later in Massachusetts. My family is very supportive. I already have white blaze fever from my first two test trips, not sure how I will be able to wait the six months to start! Friends are surprised how much planning it can take for gear, mail drops, getting in shape, etc. I really appreciate the YouTube videos of Red Beard, Loner, Sam I Am, Father Man, Homemade Wanderlust and all the others, I have learned a lot, more to learn though.",,View Entry,"Oct 14, Wed",0
Iowa Pappy,https://www.trailjournals.com//journal/entry/516276,Climbed Harney Peak last weekend. Tallest point From Rockies to Pyrenees. Not a tough trail but very beautiful. Huffed and puffed a bit. Have some work to do before AT!,,Harney Peak,"Oct 24, Sat",0
Iowa Pappy,https://www.trailjournals.com//journal/entry/516582,Getting airline ticket for Atlanta on the first of this month! Just got my down jacket from Mountain Hardware. Fits great and that completes all but my shoes. Leaning toward either La Sportiva Trail Runners or Merrill Hiking Shoes.,,Airline Ticket,"Oct 29, Thu",0
Iowa Pappy,https://www.trailjournals.com//journal/entry/517251,"Planning. I know it is not recommended to plan too far in advance as you won't know how fast you can go with weather, etc. But it does help me to see what is out there so that I make the most of my journey. I don't plan on many mail drops but knowing when I might be at the Fontana Dam or NOC can only help plan any mail drops. Since I am starting late, May 3, I hope to make the most of every day.",,Planning,"Nov 12, Thu",0
Iowa Pappy,https://www.trailjournals.com//journal/entry/517601,Beginning to plan Hostels and friends to visit along the route. I know once the Holidays hit I will get busy and the next thing you know I will be scrambling. I am trying to get as much planned as possible now with that in mind. I am up to walking 8-9 miles per day but the snow and ice are coming so this will be tougher.,,View Entry,"Nov 20, Fri",0
Iowa Pappy,https://www.trailjournals.com//journal/entry/517998,"Registered for beginning at Springer in early May. Have all the gear and now doing the planning. Hoping to have family join me at a couple of locations. I normally am designing scenery in the summers for friends so this will be a bittersweet journey. My wife is very supportive and will join me for a couple of weeks. My main goal is to really see nature, not drive by it at 65MPH. To listen and feel each cell of the living earth.",,Registered,"Dec 04, Fri",0
Iowa Pappy,https://www.trailjournals.com//journal/entry/518210,I had written Enlightened Equipment for their advice on a quilt and they really did a great job of going through the important factors. This is what makes the hiking community so fantastic. I hope after my hike I can give back as much as I have been helped.,,Enlightened Equipment,"Dec 07, Mon",0
Iowa Pappy,https://www.trailjournals.com//journal/entry/519729,"Started to organize all of the little odds and ends, label the zip lock bags and set up the drop boxes. Every week I buy one or two meals for the trip when I buy our regular groceries. This helps spread out the funds. Made my reservation for a shuttle and a stay at the Hiker Hostel before Springer. They will pick me up at North Springs Station.Lots of stretching and walking, tougher with this cold spell.",,All the details,"Jan 15, Fri",0
Iowa Pappy,https://www.trailjournals.com//journal/entry/520138,"I was looking for a way to cut some weight for the first few hundred miles and mountains. I decided to save up and buy a ZPack Duplex tent as recommended by Red Beard and others. When my wife joins me I will send it home and use the Copper Spur UL3 as the grandkids will join us too for a part.I have trimmed about 2+ pounds on the tent change and have cut other items so my base weight is down to 20 pounds. Thinking of leaving the Osprey Atmos brain behind too, what do you think?",,Ordered tent,"Jan 24, Sun",0
Iowa Pappy,https://www.trailjournals.com//journal/entry/521983,Purchasing food and dehydrating fruits and vegetables. Two months to go and I have been out hiking several times to break in the shoes and get the legs going. I am 60 years old so all I can do to hit the trail in shape I must do. It is great reading the journal entries of those who are on the trail already. Hats off to you!!,,Dehydrating,"Feb 27, Sat",0
Iowa Pappy,https://www.trailjournals.com//journal/entry/522219,Good luck to all those hitting the trail this week. May you have warm days and clear skies and great views.,,View Entry,"Mar 01, Tue",0
Iowa Pappy,https://www.trailjournals.com//journal/entry/523071,Made a few changes in gear and have hiked many hills in the area. Checking out hikers who are already on the trail. Have a great hike!!,,Getting Ready,"Mar 10, Thu",0
