Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Hickory,https://www.trailjournals.com//journal/entry/578875,Let's hike the Appalachian Trail in 2018! Seriously.,,View Entry,"Oct 01, Sun",0
Hickory,https://www.trailjournals.com//journal/entry/579083,I will soon be living the dream.,,View Entry,"Oct 05, Thu",0
Hickory,https://www.trailjournals.com//journal/entry/579410,We yearn to be far from the sound and smell of petroleum;   Away from ironically frantic pursuits of comfort and convenience;   Beyond cultural contrivances of style and status.  Welcome to utopia on the Appalachian Trail!,,View Entry,"Oct 12, Thu",0
Hickory,https://www.trailjournals.com//journal/entry/579427,"On long treks I have been asked how my gear performed. I, myself, am my own best piece of gear. I must keep myself fit and healthy by regular training, good rest and a smart diet. Oh, I pay attention to ""gear-heads"" who can spew statistics ad nauseum about equipment. When the gear I already have wears out, I will make informed choices about replacements. My body, though, becomes stronger as I push myself to get my gear down the trail.  Gear does not get me down the trail. I walk or hike two or three hours every day, preferably on a trail. I backpack when I can, now. I will intensify my training in December when I will set weekly mileage goals.  The best I can do (while training in Indiana) to prepare for an AT thru-hike is to get myself into good pre-condition for the trail. I will earn my trail legs in about three weeks on the AT. For now, keep on trekking!",,View Entry,"Oct 13, Fri",0
Hickory,https://www.trailjournals.com//journal/entry/580963,"Less than three months until I begin my 5th thru-hike attempt. I suppose I am average, having completed just one thru (2011) which coincides with the 20 per cent of aspiring thru-hikers who trek 2000 miles on the AT in one year. I am training like an athlete now. My goal is 40 miles/week in Dec. and Jan., then 50 mi/wk in Feb. Each week I include hike varieties to develop pace, strength and stamina. My most important gear item is my body, and it takes a commitment to prepare these older bones for sustained strenuous effort day after day, week after week, for months on the trail. Today I hiked 7 miles in 2 hrs 20 minutes on bike trails at Fort Harrison park. I push the pace on ""fast trails"" now to acclimate my sense of speed for similar AT stretches. Being fit helps me feel comfortable in the trail lifestyle. Whatever I can do now to get into good pre-condition will improve my odds of persevering. Keep on trekkin'.",,View Entry,"Dec 03, Sun",0
Hickory,https://www.trailjournals.com//journal/entry/581404,"""First there is a mountain, then there is no mountain, then there is."" (Donovan).            Mountains have always fascinated and inspired people. First we see a whole mountain as a singular unit of natural occurence. Hiking on the mountain allows closer familiarity. We might notice distinct components -- not a mountain but a coincidental assortment of disaggregated parts: rocks, plants, water, soil, air, animals . . .  When we realize those parts are interdependent we can now see an entire assemblage progressing in a symbiotic system. The whole mountain only exists with necessary interactions of the components.    Hiking the mountains gets us involved in the processes of the mountain. We compact soil under our boots. We drink cook spring water, breathe fresh air, sleep serenaded by nocturnal sounds, absorb storms' energies, eat sweet berries. Walking the trail makes us part of each mountain. The mountains are in us as we are in the mountains. When we leave the trail the mountains remain indelibly within us, in our enriched physioligies and in our inspired memories.",,View Entry,"Dec 23, Sat",0
Hickory,https://www.trailjournals.com//journal/entry/581667,"Transcend: From Latin ""transcendere"" -- to climb over.       DetachUplugDecompressDisengageDisconnect, there.ReacquaintInteractInterconnectAriseEngage, here.",,View Entry,"Dec 30, Sat",0
Hickory,https://www.trailjournals.com//journal/entry/581876,"Training has been curtailed in this arctic air. I caught an enfeebling cold so I have limited my training efforts to just an hour or two of outdoor exposure, combining purposeful walks at a steady pace. Urban hikes take me through Ellenberger Park, Pleasant Run Golf Course and Garfield Park. I can swing in to groceries, libraries, etc. for quick warm-ups. Layered clothing is always best for regulating body heat. I see Amicalola temps dropping into teens; the waterfall must be awesome in ice. Forecasts (for average temps) there for my NOBO start 2/26 are enouraging: maybe 60's high/ 20's low. Good hiking/sleeping weather. I have reserved one bunk in a two-bunk room at Len Foote (first-time stay there for me). Here I am offering the other bunk to another thru-hiker. Seems like a good start-send-off place for the trek. I also registered on ATC's thru-hiker site. Wow! So many more aspiring thru-hikers. I will tent most nights anyway, but shelters will be jammed! Starting my hike in February puts me ahead of the swelling horde; staying ahead of the throng takes training, planning, preparation and good luck. In December I logged 143 training miles. My (adjusted) goal is now 40 miles/week with some good 15-milers a few days in late February. Guess I better get trekkin'!",,View Entry,"Jan 05, Fri",0
Hickory,https://www.trailjournals.com//journal/entry/582090,"The trail goes up, the trail goes down;  rarely level in between. The waterfalls, vistas and wildflowers are inspiring to be seen. You may hike your own hike, and please allow me my pace, too.Your most valuable discovery could be what the trail reveals about you!",,View Entry,"Jan 13, Sat",0
Hickory,https://www.trailjournals.com//journal/entry/582272,"Though I realize any weather forecast for 5 weeks ahead will be based on past years' averages, the 'extended forecast' looks great for a late February launch. I fly to Atlanta Feb 26, ride MARTA to North Springs Station, meet a pre-arranged shuttle to Amicalola, and I will put my boots on Mother Earth early that afternoon. If you will need a shuttle that day, please share the ride with me. The great hosts of Top Of Georgia Hostel will meet me at 11:30 a.m. at North Springs MARTA.  So far in January I have logged 92 training miles, a little short of my goal. Still, I feel more motivated each day knowing I ""seek a greater reward"": confidently trekking the AT!   I can't wait, literally, to get in shape on the trail. My training and conditioning now will enable me to safely earn my ""trail legs"" by the time I hike to Hot Springs, about three weeks up the trail. Being in good pre-condition reduces the joint pain, muscle strain and fatigue factors of sustained, daily hiking. I will be able to sleep well! I still need a couple of gear items. Seems now that bear-proof food containers are required. I have chased bears from my campsites three times on previous hikes, so I understand. The lightest containers weigh about three pounds, so I will shake-down to reduce base weight somewhere else.  And I like the Nemo spoon-design sleeping bags since I side-sleep and belly-sleep.  A 30-degree bag should be comfortable, with my ThermoLite bag liner for 20-degree nights.  Now I need to get to a sloppy, slushy trail today for a good 10-miler.",,View Entry,"Jan 21, Sun",0
Hickory,https://www.trailjournals.com//journal/entry/582925,"""After Pennsylvania there are no more rocks in the trail."" BUSTED: There are rocks, roots and ruts in the AT all the way. Of course, there are still pine-needle-soft stretches where you can actually enjoy a steady pace and drift into a ""trekker's trance"". The trail has discernable macro-rhythms and micro-rhythms.
""It's all downhill from here.""  RARELY: You'll hear well-meaning day-hikers tell you through encouraging smiles that ""You're almost to Damascus"", then you climb the humpty-bump you saw on the elevation profile but somehow ignored. 
""For some fool reason they lead you right up over the biggest boulder and the tallest mountain along the way,"" (That was actually Grandma Gatewood's quote.) TRUE: My theories are that none of the 31 volunteer trail clubs want a reputation of having the easiest section on the AT; many more section hikers come out for a challenging weekend climb; routing options are sometimes limited to the most rugged knife's edge; and, well, we didn't come here to walk a road.
""The best of the trail is never behind you."" For NoBo hikers-I AGREE: Sometimes I feel that the Southern and Mid-Atlantic sections prepare NorthBounders for the Whites, which are spectacular, and then Maine is just outrageous. If SouthBounders can focus on the ""journey is the destination"", they will also be drawn forward to inspiring rewards. 
""Virginia is flat!"" HA! See if you agree while descending the Priest then climbing Three Ridges. Of course, you'll have your ""trail legs"" before you reach Roan Mountain, so you may feel like cruising over terrain on Mt. Rogers, etc. which would have been more challenging before you became a lean, mean hiking machine.
""Nothing slows me down like a patch of wild berries."" (That was Earl Shaffer) EAT THE BERRIES! The bears, birds and critters have millions more berries just beyond the trail where we hikers will not go. We can't deplete the food source and starve the wildlife. I do sometimes collect wild edibles if I won't kill the solitary plant, so ramps go in the ramen, morels get diced with Knorr sides, dandelion greens are added to mashed potato pouches and mint leaves are chewed or brewed in tea.
""It's hard to find a grumpy person on a long-distance trek."" PROBABLY TRUE: We will be among like-minded adventurers; inspired by awesome natural surrundings; enjoying a balance of solitude and social connections, releasing endorphins and feeling great! Our daily ambition is to hike in a grand linear wilderness. We are happy hikers! Then there are situational challenges when we accept the realities: ""I won't get to Katahdin today,"" and, ""No rain, no pain? No Maine!""  Just know your hike, hike your own hike, and like your hike. Trail families can be sources of mutual support and encouragement, but ultimately it is up to me to take another step, take another step, take . . .""The Trail provides."" Uncannily, undeniably, unpredictably TRUE. Don't expect it, don't rely on it, just nod in appreciation when you receive something you need. This is not ""trail magic""; and it may not be what you thought you needed. Accept what the trail provides and be grateful for this part of your personal trail history.",,View Entry,"Feb 13, Tue",0
Hickory,https://www.trailjournals.com//journal/entry/582926,"""After Pennsylvania there are no more rocks in the trail."" BUSTED: There are rocks, roots and ruts in the AT all the way. Of course, there are still pine-needle-soft stretches where you can actually enjoy a steady pace and drift into a ""trekker's trance"". The trail has discernable macro-rhythms and micro-rhythms.""It's all downhill from here.""  RARELY: You'll hear well-meaning day-hikers tell you through encouraging smiles that ""You're almost to Damascus"", then you climb the humpty-bump you saw on the elevation profile but somehow ignored. ""For some fool reason they lead you right up over the biggest boulder and the tallest mountain along the way,"" (That was actually Grandma Gatewood's quote.) TRUE: My theories are that none of the 31 volunteer trail clubs want a reputation of having the easiest section on the AT; many more section hikers come out for a challenging weekend climb; routing optiions are sometimes limited to the most rugged knife's edge; and, well, we didn't come here to walk a road.""The best of the trail is never behind you."" For NoBo hikers-I AGREE: Sometimes I feel that the Southern and Mid-Atlantic sections prepare NorthBounders for the Whites, which are spectacular, and then Maine is just outrageous. If SouthBounders can focus on the ""journey is the destination"", they will also be drawn forward to inspiring rewards. ""Virginia is flat!"" HA! See if you agree while descending the Priest then climbing Three Ridges. Of course, you'll have your ""trail legs"" before you reach Roan Mountain, so you may feel like cruising over terrain on Mt. Rogers, etc. which would have been more challenging before you became a lean, mean hiking machine.""Nothing slows me down like a patch of wild berries."" (That was Earl Shaffer) EAT THE BERRIES! The bears, birds and critters have millions more berries just beyond the trail where we hikers will not go. We can't deplete the food source and starve the wildlife. I do sometimes collect wild edibles if I won't kill the solitary plant, so ramps go in the ramen, morels get diced with Knorr sides, dandelion greens are added to mashed potato pouches and mint leaves are chewed or brewed in tea.",,View Entry,"Feb 13, Tue",0
Hickory,https://www.trailjournals.com//journal/entry/583152,"When the journey becomes the destination we embrace the experience as the purpose of our efforts, focusing on daily discoveries, living the simple life. Eat when you're hungry, drink when thirsty, sleep when you're tired. And every day walk in a grand linear wilderness. Walk everywhere. Appreciate our neighbors and be kind to our trail families. Contribute to the community.If the journey itself is the destination, there are no Pointless-Ups-and-Downs. To hike the trail is to agree to climb the climbs, slog the bogs, cruise the flats, scramble the boulders and dance through the rocks and roots. On the trail we are only ""here"", now. If your purpose is just to finish this trail then take to the road, go climb the ""Greatest Mountain"" (Katahdin), and be done with it.But we come to this ""Continuous footpath for those who seek fellowship with the wilderness"" in order that we will live the journey.Albert Camus, French existentialist, referred to the Myth of Sysiphus as allegorical to finding meaning in an apparently meaningless existence. Upon his death Sysiphus entered purgatory where he was assigned the task of rolling a heavy stone up a steep hill. Sysiphus expected to earn his heavenly fate by setting the stone on the summit. The stone dislodged on every attempt but Sysiphus was compelled each time to try again.  Sysiphus eventually realized that this stubborn task was his eternity.Sysiphus necessarily accepted this paradoxical absurdity by embracing the effort as validation of his purpose.  On the AT, we can value each climb, bog, ford, traverse and boulder-dance as the very purpose of the journey. Keep rollin' the stone. Trek on!",,View Entry,"Feb 21, Wed",0
Hickory,https://www.trailjournals.com//journal/entry/583353,"I return today to discernible rhythms of the AT. It seems the Trail can has three large geographic sections: South, Mid-Atlantic, and Northeast. Social characteristics can also differ from the very busy southern and middle sections to the wilder, more remote Maine experience. Overall rhythms of terrain, treadway texture, community, flora and fauna, and resupply optionswill be enjoyed in sometimes obvious patterns or sometimes subtle details. The first 200 miles (NoBo) provide a good representation of the entire trail. Always there will be climbs, descents, smooth trail yeilding to rock-hopping, root-strewn hazardous footing. Woods roads will lead to open ridges, creekside rambles will suddenly climb to tree-covered ""balds"" (ovegrown since pioneer naming). After cruising with cattle across a pasture (don't follow the cowpath) we will re-enter the Green Tunnel. Coming from near-0's and zero's we will pass through another magic portal to the linear wilderness. Daily patterns will emerge to remind us we did not come to walk a road. Curious vernacular patterns appear as gaps in the south become notches or cols farther north. Shelters become huts, then shelters again, then leantos. Huts in the Whites are unique back-country lodges.The rhythmic variety provides a framework for the trail experience. Every climb is finite, each mucky stretch leads to ""fast trail"", when we cross a creek we will climb, there will be sunny days after our socks are soaked . . . Daily, sometimes hourly rhythms provide familiarity. To be home on the trail is to recognize, appreciate and look forward to small rewards a grand accomplishments.","Amicalola Falls
",Len Foote Hike Inn,"Feb 26, Mon",5
Hickory,https://www.trailjournals.com//journal/entry/583464,"Len Foote Hike Inn provides a great start for the trail. I recommend the rustic and very comfortable lodge to any outdoors enrhusiast.The trails have been very clean without litter and surprisingly without discarded camp gear. Hikers are apparently better prepared for the trek. The Ridgerunners, ATC volunteers and GATC deserve our respect and gratitude. 
  I hiked through Spring in low elevations with serviceberry trees blossoming, bloodroot spikes rising through leaf litter, and wild onions popping up. Then we are back in the middle of winter on the summits. Hikers starting now get to enjoy extended springtime unfolding slowly as we head ""North With Spring"",  as Earl Shafer put it.At the Amicalola visitor center I signed in as registered thru-hiker number 372!  Registration is not required so the numbers are estimations. The Ridgerunner figured that more than 500 hikers have already started north. He expects about 4000 thru-hikers will eventually be on the AT this year.","Len Foote Hike Inn
",Hawk Mrn,"Feb 27, Tue",12
Hickory,https://www.trailjournals.com//journal/entry/583466,"Owls hooted through the persistent, soaking showers as I cruised along today.  Several other hikers were seen through the mist and rain. I made a quick stop at Gooch Gap trail shelter for lunch. The place was busy with some hikers taking a ""zero"" already, and other transients like me. I got back on the soggy trail as soon as I finished lunch.When I saw a flowing spring late in the afternoon on Big Cedar I knew this would be home tonight. The tent was deftly erected, stuff brought inside out of the dripping drizzle, and water was fetched. I enjoyed lasagna (freeze-dried trail food style; just add hot water). The bagful gave me good portions of calories and protien. Getting into dry clothes for sleeping made me laugh out loud to be warm and dry for the night.I laughed out loud a few times these first three days on the trail. I am happy to be home again.","Hawk Mrn
",Big Cedar Mountain,"Feb 28, Wed",15
Hickory,https://www.trailjournals.com//journal/entry/583539,"The stream took the trail; the trail became a stream.In calculating my daily mileage I include blue-blazed (side trips off the main trail) distances. Today I hiked .4 mile to a shelter for a dry lunch break, and then the trail th to Whitley Gap was 1.2 miles.   Squishy mud prevailed over much of the treadway. Cobbly rock stretches kept boots above the muck, and roller coaster ups-and-downs hills made fun climbs. Then Blood Mountain got my circulation up with slab stairways, boulder hopping and open ledges that allow great vistas on clear days. I have had one clear day on Blood Mtn. in my five over this AT Georgia icon. I enjoyed the good climb anyway. Another hiker remarked after his trek over Blood, ""Some rock, huh?""I have now heard the three usual comments which I expect will be re-iterated as I trek on. I may have said these things myself when I was first learning the trail: A lady asked, ""Why do some hikers go so fast and so far each day? They can't be enjoying the hike.""  Another question came up, ""How do you carry enough food?"" (Yes, she really did ask that.) And, ascending Blood Mountain I heard, ""I thought we would be mountain hiking. This is mountain climbing!""I am not a speed hiker, and definitely not a trail runner. I define my pace as a cadence hiker. I try to maintain a regular rhythmic timing to my steps, as the trail allows. Probably my bicycling days contribute to keeping a constant cadence. I adjust the length of my stride according to terrain, trail surface and weather. I shorten my steps climbing steep grades, like shifting to lower gears on a ten-speed, but keep that cadence constant. A familiar song often accompanies the beat. Today I recalled most of Cat Stevens' ""In the Road to Find Out"". The beat matched my cadence. As a cadence hiker, I can cover many miles, eventually averaging 16-17 miles/day. I plan my breaks and lunch to enjoy waterfalls, vistas, wildflowers, edible plants and more. Cadence hiking gets me efficiently across relatively featureless parts and over transfer-trail, connecting through non-wilderness to re-enter another magic portal. I do enjoy much of  the trail offers. My own speed can be exhilirating when I can blast along at over 3 m.p.h.! Breakneck!","Big Cedar Mountain
",Whitley Gap Shelter/tent area,"Mar 01, Thu",17
Hickory,https://www.trailjournals.com//journal/entry/583542,"Mica flecks sparkled like diamonds in the sun on much of the trail today. Streambeds flashed bits of the schist under athletic, tumbling ripples. I paused while crossing the boulder-strewn Blue Mtn shoulder. Gurgling underground streams mysteriously revealed their ethereal course somewhere below my boots. 
I found camp early today to be near Unicoi Gap. Early tomorrow i will catch a shuttle to Hiwassee, Ga. where I will enjoy my first Near-0 day! I will stay at Top-Of-Georgia Hostel tomorrow night.","Whitley Gap Shelter/tent area
",Blue Mountain,"Mar 02, Fri",14
Hickory,https://www.trailjournals.com//journal/entry/583568,"An affable tent neighbor, Footprint, thawed a skim of ice from his water this morning. Ridges to the east glowed with magenta, then orange, then direct sunlight as viewed from our mountaintop camp, providing a stunning daybreak show.Crunching down Blue Mountain over spiny hoarfrost my earworm of the day became Hall of the Mountain King from the Peer Gynt Suite! Perhaps I have another cadence-keeper.Approaching Unicoi Gap I noticed the evergreen galax alongside trickles of springwater. I have descended again into Georgia Springtime.Hearing traffic at Unicoi Gap I recalled my short section-hike attempt in 2004. I was sure I could hike 70 miles in 5 days from Springer to Dick's Gap where I had parked my truck. I was the one on that trek who thought I would be mountain hiking. While I was exhilirated to be in these mountains, actually on the Appalachian Trail, I realized I was unprepared for this rigorous adventure. My thighs burned, I stopped frequently on each climb, and my feet were chewed up like hamburger. At Unicoi Gap, mile 52, I was out of food, I threw my boots in a trash can, put on my heavy ""camp shoes"", and stuck out my thumb. I was done, dejected, and bewildered by this epic footpath. The pleasant couple who picked me up knew I was depressed. Even though I smelled like a dead goat, they smiled and attempted conversation. It's a southern thing, I guess. They asked, ""Where you from?"" Then one simple phrase was enough to begin my recovery from my self-defeating angst. He observed, ""Well, this ain't like Indiana."" I learned to appreciate that truth.Over the months and years later I began to catch Appalachian Trail Disease: I grew more determined as I understood this journey demands my training, gear improvement to improve my odds (particularly my boots), systems development for eating, hiking, sleeping, maintaining hygiene and for field repair.  For me it takes experience and resilience. Tonight I sleep in a bed at the very nice Top Of Georgia Hostel. I resupplied groceries for four more days (so I don't have to carry five months worth of food), did my chores (shower, laundry, AllYouCanEat buffet, plan my hike to Franklin, N.C., etc.) Tomorrow I resume NoBo AT'18, to the tempo of Hall of the Mountain King!","Blue Mountain
",TopOfGeorgia Hostel,"Mar 03, Sat",2
